STATE,RACE,S1_DEM_RATIO,S2_DEM_RATIO,S3_DEM_RATIO,S1_REP_RATIO,S2_REP_RATIO,S3_REP_RATIO,S1_COR(DD),S2_COR(DD),S3_COR(DD),S1_COR(RR),S2_COR(RR),S3_COR(RR),TIGHT_RACE,WINNER
NC,D,1.114674513,1.058760066,1.000584744,0.974971595,0.968110793,1.056427268,0.949531823,-0.032832417,-0.045743169,0.924543416,0.049860003,0.034716327,TRUE,R
NC,D,1.142786451,1.051698376,0.995457759,0.932485249,0.926752595,1.110104069,0.931609808,0.75959786,0.587715545,0.946862623,0.815154894,0.888012277,FALSE,D
NC,D,1.050483698,1.024298391,0.984364163,0.986167207,0.97916954,1.049242469,0.98012373,0.967943835,0.937214406,0.991769331,0.986071316,0.967937343,TRUE,R
NC,D,1.140533077,1.038130642,0.9463154,0.961281599,0.974481929,1.119957448,0.750437113,0.977175613,0.64597655,0.842630217,0.972513551,0.802954633,FALSE,R
NC,D,1.185875494,1.117976815,1.08659948,0.952242035,0.94578004,0.907301916,0.863666162,0.831660545,0.841013449,0.901867557,0.911008968,0.820819367,FALSE,R
NC,D,1.1769053,1.108699146,1.073064307,0.961514781,0.946222486,0.872196651,0.607076703,0.766547176,0.958606383,0.772657221,0.878482655,0.991470886,FALSE,R
NC,D,1.196834708,1.135032385,1.061162181,0.830774092,0.787239293,0.787739902,0.426634805,0.544163348,0.92691688,0.187935956,0.469831386,0.906933502,FALSE,D
NC,D,1.10330469,1.010821146,1.004661415,0.973678873,0.978200488,1.125627872,0.926876975,0.959563212,0.969937736,0.921436383,0.961951992,0.955838979,FALSE,D
NC,D,1.075936506,1.063286069,1.023748412,0.972994907,0.958202352,0.988265643,0.738310161,0.943540308,0.980126446,0.781435151,0.947650877,0.994170556,FALSE,R
VA,D,1.43290033,1.330240035,1.157036511,0.927748039,0.911950369,0.927809941,0.977938321,0.980906977,0.990782054,0.979282906,0.98841433,0.987326015,FALSE,R
VA,D,1.140379146,1.109169453,1.070003919,0.940531866,0.913050933,0.894030623,0.985555355,0.987081454,0.924959222,0.982160788,0.969814866,0.973495993,TRUE,D
VA,D,1.04145019,1.051762726,1.031418393,0.984569634,0.965334879,0.962762014,0.984081843,0.985406809,0.923391164,0.989501988,0.98044386,0.917312158,FALSE,R
VA,D,1.208670489,1.111415089,1.064299864,0.95237205,0.952386385,0.93613332,0.982052344,0.952039657,0.953411303,0.908681945,0.942211721,0.962155419,FALSE,R
VA,D,1.004933192,0.988699162,0.979678172,0.992622414,1.038602894,1.09695391,0.934799066,0.817136721,0.930676816,0.943905899,0.835441328,0.867782501,FALSE,D
VA,D,1.049158291,1.032937991,1.025806734,0.918066279,0.92710403,0.911398826,0.988822687,0.988112074,0.913679486,0.988113066,0.978872713,0.926130844,FALSE,D
VA,D,1.069050596,1.011308953,1.009733761,0.963382482,0.986644203,0.982741671,0.961643948,0.919281532,0.754213946,0.946852627,0.849457888,0.777834973,TRUE,D
VA,D,1.096942629,1.049621188,1.00638235,0.956566634,0.93539014,1.065365071,0.987903664,0.960765919,0.923828898,0.99046383,0.97988643,0.960072826,FALSE,D
VA,D,1.101983136,1.054759679,1.003310014,0.970499472,0.966431527,1.00898289,0.986211763,0.988423422,0.95748233,0.992788635,0.995305835,0.942229019,TRUE,R
VA,D,1.090357214,1.075988553,1.04718796,0.950958342,0.935095097,0.928214271,0.98706008,0.935541983,0.978746544,0.975808927,0.950856935,0.982006882,TRUE,D
VA,S,1.24512214,1.137107615,1.054445309,0.927008589,0.883327216,0.873303001,0.984208143,0.955723746,0.925227978,0.975877846,0.966733641,0.944428823,FALSE,D
VA,S,1.073625822,1.002352988,0.969403737,0.972665611,0.996893903,1.16029256,0.898632833,0.827022797,0.862631684,0.914608146,0.837312082,0.899568323,TRUE,D
VA,D,0.996664694,1.002639972,0.969288445,1.007413024,0.99534449,1.112008703,0.724743303,0.943507105,0.949909228,0.921160254,0.97782518,0.96981364,FALSE,D
VA,D,0.817868611,0.834171942,0.838040852,1.104997109,1.166121268,1.315074256,0.961287584,0.822928329,0.848177016,0.979979139,0.930964119,0.89778969,FALSE,R
VA,D,0.70304477,0.772076833,0.848522776,1.131804805,1.209330698,1.892618174,0.949195357,0.788100648,0.70756263,0.979946723,0.861695159,0.855251778,FALSE,R
VA,D,0.73656949,0.78475494,0.85846689,1.118247707,1.175252687,1.300041998,0.931488792,0.903709099,0.885418052,0.954229422,0.921792958,0.884184775,FALSE,R
VA,D,0.836510004,0.86681372,0.846891322,1.103349507,1.133533129,1.234728716,0.739397393,0.939311988,0.857292697,0.786540393,0.942194158,0.947059093,FALSE,R
VA,D,0.983119895,0.924143801,0.92095588,1.020399825,1.123775576,1.217120508,0.91962416,0.986759201,0.583306096,0.909076207,0.984805041,0.788331807,FALSE,D
VA,D,0.752950215,0.78284637,0.818873895,1.123325543,1.177263213,1.377973629,0.924616222,0.771336236,0.847604132,0.977721258,0.828521099,0.860770523,FALSE,R
VA,D,0.926962949,0.881529254,0.922904156,1.034684789,1.083077652,1.106935838,0.87436637,0.798604026,0.840655989,0.895929876,0.83797033,0.894773101,FALSE,R
MN,S,1.182537013,1.081717851,1.026699214,0.913128694,0.92637826,0.972159188,0.989702433,0.984611632,0.960348239,0.99303862,0.988369977,0.976299347,FALSE,D
MN,D,1.073097289,0.995629082,0.920345238,0.96679541,1.008405343,1.178922278,0.991620861,0.989437953,0.979642316,0.989339976,0.983104163,0.981573582,TRUE,D
MN,D,0.723310395,0.753405327,0.7935312,1.188304412,1.250748206,1.330739505,0.967983279,0.937929669,0.886341397,0.979633158,0.94373784,0.966406653,FALSE,R
MN,D,0.770769306,0.80889837,0.834986737,1.14168248,1.182759848,1.241814942,0.987122049,0.960184099,0.952884245,0.994183931,0.978968031,0.980545484,FALSE,R
MN,G,1.063182703,1.011548078,0.992693283,0.972369427,0.989801613,1.029649996,0.990082663,0.982873228,0.958224122,0.993474867,0.988953008,0.975647214,TRUE,D
MN,D,1.052776623,1.038773808,1.003920418,0.947791778,0.925920837,1.008692715,0.977740787,0.935887926,0.864107969,0.980508222,0.934953237,0.961641877,FALSE,D
MN,D,0.973424657,0.992317491,0.99755087,1.044106406,1.012958806,1.089966739,0.939298104,0.878662119,0.802267459,0.931080144,0.910978567,0.882029485,FALSE,D
MN,D,1.21815673,1.106723088,1.058314949,0.897817502,0.907847561,0.917666697,0.983341951,0.987554114,0.946557031,0.989007072,0.992250833,0.953599682,TRUE,D
MN,D,1.553124878,1.279754204,1.149071904,0.775106433,0.787841043,0.86781668,0.984994581,0.985264519,0.973464737,0.989000663,0.98680399,0.976032141,TRUE,D
MN,D,1.006838835,0.981112103,0.972255012,1.000064929,1.013030691,1.027076844,0.975233381,0.956125161,0.926430663,0.994189944,0.967838907,0.980282594,FALSE,R
CO,S,0.879300001,0.934581639,0.963548565,1.054406455,1.074021224,1.119640148,0.923961302,0.81476308,0.872123795,0.951933831,0.887931404,0.893159082,TRUE,R
CO,D,0.706863353,0.811052205,0.884406003,1.109737026,1.167946712,1.358982443,0.921725039,0.905690763,0.968272432,0.945256652,0.965511837,0.985061869,FALSE,R
CO,D,0.942957561,0.949280344,0.998449161,1.047357807,1.075030447,1.00312804,0.794995078,0.819731161,0.914924795,0.828657106,0.664282953,0.909709732,FALSE,D
CO,D,0.710283151,0.771964589,0.812743983,1.084978205,1.127973516,1.229381707,0.911880869,0.954340395,0.898518762,0.944287983,0.978435369,0.975844322,FALSE,R
CO,D,1.187761146,1.048721291,0.959533125,0.93373388,0.974424795,1.056422595,0.879780632,0.918208562,0.92277436,0.938689712,0.944959187,0.96087796,FALSE,R
CO,D,0.999079948,0.999525151,0.983250581,0.997863901,1.003662273,1.143487517,0.911951249,0.823217445,0.869147635,0.975114165,0.829145136,0.923955408,FALSE,D
CO,D,1.040744312,0.953528276,0.900645482,0.968832269,1.067790516,1.227876048,0.696586651,0.607389734,0.569431554,0.709049878,0.639544584,0.667517311,FALSE,D
CO,D,0.889341479,0.873953566,0.875314877,1.076511061,1.135797586,1.314940676,0.970272485,0.952335371,0.928222043,0.978517102,0.968594416,0.98233607,TRUE,R
FL,D,0.985068606,0.903326433,0.851205523,1.019889786,1.067585549,1.501227751,0.886508339,0.8873703,0.921147712,0.888229117,0.889027434,0.854882819,FALSE,R
FL,D,0.884615651,0.84343146,0.835748546,1.065716196,1.128711419,1.232730679,0.94437927,0.975635215,0.92691803,0.91522679,0.975869667,0.783879189,FALSE,R
FL,D,1.222759815,1.017773575,0.909853539,0.795283143,0.982049447,1.866802153,0.307692214,0.127365725,0.100329979,0.485668123,0.171479623,0.164778016,FALSE,D
FL,D,0.895369688,0.896557404,0.911695863,1.081387712,1.178212561,1.297819347,0.991358753,0.976861133,0.974483429,0.995358876,0.984674859,0.947390668,FALSE,D
FL,D,0.87509944,0.843113972,0.787475839,1.08052833,1.112668513,1.341470893,0.991136969,0.990868894,0.994111923,0.994155167,0.996839835,0.995683123,FALSE,R
FL,D,0.865111799,0.924947921,0.940064541,1.03761059,1.045068923,1.150615753,0.992592705,0.943076561,0.766655579,0.994259074,0.975599882,0.914980671,FALSE,R
FL,D,1.26480827,1.109559053,1.031885167,0.929947143,0.905577842,0.991199783,0.970866146,0.949644934,0.903868529,0.979463991,0.975748826,0.912429827,TRUE,D
FL,D,0.906780245,0.939184454,0.96507309,1.074634531,1.194137498,2.242263757,0.759393371,0.952202453,0.970825536,0.66897885,0.868510172,0.94899116,FALSE,D
FL,D,0.838897449,0.830431155,0.85716235,1.080637644,1.132585706,1.272843333,0.966033497,0.977686234,0.955981672,0.989570375,0.986268552,0.969016658,FALSE,R
FL,D,0.885951903,0.86492916,0.832148209,1.055309653,1.091534918,1.25975922,0.983183166,0.988308531,0.981576393,0.982724884,0.987750428,0.986536305,FALSE,R
FL,D,1.297009274,1.045003481,0.981535062,0.535509441,0.807245361,1.351971072,0.41858624,0.798514925,-0.09098064,0.794544023,0.133289861,-0.000727792,FALSE,D
FL,D,1.004513277,0.944598649,0.810299623,1.007202706,1.018609469,1.548076057,0.957273592,0.807978967,0.24959698,0.95394529,0.848298826,0.386571642,FALSE,R
FL,D,1.520437841,1.016064779,0.967666908,0.466647322,0.956885809,2.708975398,0.010702606,-0.05633212,0.229199538,0.329459896,-0.017829258,0.24860784,FALSE,D
FL,D,0.903316511,0.887650218,0.90655097,1.04741886,1.100191897,1.189397209,0.990746289,0.982900979,0.974837198,0.996004314,0.991422849,0.994306898,FALSE,R
FL,D,0.893100284,0.892677783,0.852235699,1.047128664,1.073589517,1.207053209,0.94161506,0.889597912,0.843625346,0.958676063,0.86303775,0.971942323,FALSE,R
FL,D,1.672652619,1.302523117,1.125659206,0.694199069,0.736943934,0.850117797,0.939610447,0.967903768,0.969086471,0.856597197,0.967502839,0.996678532,FALSE,D
FL,D,0.689154402,0.740770308,0.755455105,1.213022031,1.285980771,1.400941312,0.976349223,0.976231994,0.836189149,0.985945724,0.976259309,0.836882691,FALSE,R
FL,D,1.044822903,0.951644791,0.903503745,1.00017417,1.035782611,1.184178312,0.966799414,0.962110514,0.923243548,0.960280691,0.946424836,0.968737372,FALSE,R
