STATE,RACE,S1_DEM_RATIO,S2_DEM_RATIO,S3_DEM_RATIO,S4_DEM_RATIO,S5_DEM_RATIO,S6_DEM_RATIO,S1_REP_RATIO,S2_REP_RATIO,S3_REP_RATIO,S4_REP_RATIO,S5_REP_RATIO,S6_REP_RATIO,S1_COR(DD),S2_COR(DD),S3_COR(DD),S4_COR(DD),S5_COR(DD),S6_COR(DD),S1_COR(RR),S2_COR(RR),S3_COR(RR),S4_COR(RR),S5_COR(RR),S6_COR(RR),TIGHT_RACE,WINNER
NM,D,1.108318726,1.052920676,1.052989089,1.057981777,1.033822973,1.014028306,0.952518841,0.942085191,0.927841342,0.897511665,0.911853137,0.929254787,0.99158642,0.987137773,0.988833272,0.975477482,0.975219122,0.96275107,0.993938925,0.985343103,0.977029285,0.947929773,0.941228331,0.960094396,FALSE,D
NM,D,1.552708031,1.273255789,1.17467758,1.121551764,1.081897176,1.044073463,0.895686601,0.821375921,0.77266673,0.69596084,0.704133839,0.693881614,0.981794774,0.988627061,0.994328794,0.9941775,0.994884189,0.993616243,0.992512146,0.980438454,0.988455961,0.960498499,0.980365814,0.97435199,FALSE,D
NM,D,1.396792358,1.276767292,1.21178233,1.131227312,1.075620858,1.029403305,0.939274753,0.894107106,0.869666679,0.880415902,0.885164221,0.976808651,0.982324297,0.979171953,0.985321019,0.977883082,0.967637858,0.930689101,0.993567073,0.991819166,0.986639579,0.983432834,0.978971034,0.922089857,TRUE,D
MN,D,2.886130969,2.041189381,1.834862279,1.635114463,1.549111017,1.36999472,0.714034226,0.705368473,0.689210194,0.702533632,0.678264383,0.681169241,0.950138172,0.990445517,0.980946758,0.994954771,0.991940839,0.987853005,0.984977183,0.99131446,0.988533991,0.993792826,0.993232532,0.991274237,TRUE,D
MN,D,1.507713007,1.344783235,1.275507978,1.219699733,1.193665652,1.113509415,0.892163518,0.878491932,0.87433687,0.874554418,0.853069376,0.850876516,0.972671053,0.988751529,0.986519339,0.99607629,0.993901563,0.987031892,0.991235884,0.994289317,0.992096706,0.99563646,0.994060338,0.96628909,TRUE,R
MN,D,1.227969202,1.150533051,1.063602513,1.075563958,1.049924513,1.024196625,0.945333129,0.944609994,0.970540372,0.95531287,0.962813677,0.969106518,0.993489462,0.98745036,0.996470786,0.99723375,0.989474526,0.980188532,0.993846387,0.969332906,0.995756106,0.988415324,0.981228964,0.977049913,FALSE,R
MN,D,1.451370371,1.235531936,1.210397778,1.155333527,1.076879087,1.053558705,0.910483467,0.908823348,0.893216476,0.897596942,0.931338478,0.915578982,0.990716022,0.993290684,0.996713713,0.97918629,0.928211568,0.988798277,0.994064544,0.993616919,0.994769322,0.991362034,0.947203869,0.971896072,TRUE,R
MN,D,1.077408511,1.039385697,1.016847243,0.991520157,0.996192475,0.994685019,0.947509124,0.962569276,0.98089345,1.011337736,1.005840766,1.013010389,0.994201497,0.996342733,0.980039223,0.991320383,0.982323961,0.943678924,0.985855378,0.981780867,0.959549199,0.982635129,0.947652823,0.953763615,FALSE,D
MN,D,1.085413322,1.068009375,1.046289913,1.015739519,1.012057754,0.999351271,0.917163387,0.912925642,0.927051342,0.949475849,0.952985401,1.023296419,0.976143617,0.987388867,0.932748259,0.949043017,0.975856729,0.967789853,0.976859063,0.968388968,0.950562129,0.919171452,0.92812552,0.933451154,FALSE,D
MN,D,0.981649082,0.973519512,0.970976866,0.977521261,0.974030896,0.984483658,1.032285856,1.063068814,1.098430584,1.115308493,1.215601004,1.20251002,0.987815561,0.982543342,0.98036916,0.986056574,0.986166353,0.986816105,0.940163048,0.959956916,0.878816427,0.931470378,0.899504336,0.946203615,FALSE,D
MN,D,1.251661947,1.161545746,1.111621836,1.060351908,1.051022844,1.014932848,0.915017982,0.909561335,0.916496516,0.942274724,0.938134311,0.984977296,0.996986298,0.996550969,0.988043853,0.988737312,0.990750554,0.988120153,0.995912515,0.995880539,0.981689863,0.971024035,0.979752843,0.95905732,TRUE,D
MN,S,1.623681943,1.336375066,1.255546531,1.187625619,1.092864784,1.025427424,0.878653703,0.875452329,0.871523683,0.871875416,0.903228842,0.961341509,0.990575264,0.994884117,0.997454501,0.994737754,0.987237354,0.985157727,0.994906071,0.992053093,0.994409824,0.989288979,0.975556359,0.965703209,FALSE,D
NC,D,1.092976623,1.041136263,1.042410411,1.034314644,1.011350494,0.99726388,0.908997384,0.925141162,0.890530168,0.876258434,0.93253187,1.045069163,0.992187995,0.997184605,0.981935475,0.961264709,0.994323661,0.983085527,0.986925044,0.98625806,0.984222866,0.893956669,0.98556541,0.974393482,FALSE,D
NC,D,1.153817005,1.098519797,1.077013571,1.037849651,1.018230619,1.011282551,0.972191096,0.965379884,0.948295475,0.956536274,0.965291996,0.948141758,0.980761404,0.930203106,0.983310431,0.852687025,0.958929396,0.724653881,0.992452713,0.890780591,0.979608902,0.84248776,0.982871777,0.899340239,TRUE,R
NC,D,1.167229882,1.151356597,1.148106142,1.141448716,1.097842056,1.057357213,0.932394729,0.915161738,0.885444909,0.867794594,0.893091422,0.913229692,0.789433699,0.876818748,0.944839813,0.759108799,0.937068706,0.881682649,0.845361722,0.941262801,0.939304573,0.821605896,0.988648074,0.980617072,TRUE,R
NC,D,1.133583044,1.095765982,1.110066807,1.007453324,0.994113999,1.007055489,0.981124644,0.968818546,0.941130619,0.995090967,1.00324001,1.109614527,0.779237933,0.935444734,-0.104474005,0.476937584,-0.066751804,0.018585817,0.900078672,0.939350384,-0.034760226,0.64045019,-0.109939282,-0.076923689,TRUE,R
NC,D,1.205028343,1.080544559,1.06137729,1.042019462,0.998764401,0.992151116,0.921814531,0.943155967,0.935900959,0.917604231,1.008843901,1.211364237,0.901831947,0.974902928,0.848853452,0.555343644,0.601178301,0.588965898,0.934815804,0.982648414,0.802345989,0.822292608,0.828753078,0.720254308,FALSE,D
NC,D,1.082609506,1.01682809,1.021120926,1.027475857,0.976901457,0.991487654,0.98038599,0.99222372,0.984886356,0.973452724,1.031889312,1.065806845,0.992598558,0.964624175,0.944020001,0.972414643,0.944472346,0.945642213,0.994811895,0.983795662,0.975378355,0.991057219,0.960828661,0.981612245,TRUE,R
NC,D,1.175225038,1.105841117,1.043734592,1.032311157,0.917144102,0.975486697,0.964447306,0.958115892,0.975110703,0.973828972,1.119513838,1.120401057,0.869362372,0.472668045,0.217446659,0.985188398,0.546775568,0.58188064,0.8809362,0.532891772,0.392358034,0.981863597,0.719865092,0.877696902,FALSE,R
NC,D,1.189061703,1.182616871,1.128820485,1.106886697,1.083385779,1.089741767,0.962334246,0.941920455,0.947254777,0.944271786,0.943373783,0.872031647,0.951941223,0.81095301,0.740313076,0.856410723,0.937902622,0.82909407,0.949491505,0.870943429,0.867549551,0.930943251,0.937537061,0.767284049,FALSE,R
NC,D,1.20874261,1.143392341,1.115666377,1.101365219,1.094119641,1.053061739,0.962574767,0.960399006,0.953135027,0.938946127,0.912974966,0.833457252,0.846898462,0.524087326,0.771846855,0.759998915,0.978508075,0.942923601,0.878415721,0.747890876,0.880917169,0.847675057,0.99069005,0.996692138,FALSE,R
NC,D,1.251469595,1.140248575,1.146068256,1.123996513,1.086923894,1.036288802,0.814644398,0.847479848,0.799312985,0.775165602,0.778868681,0.796305219,0.332481043,0.961480976,0.460010934,0.703946618,0.947243447,0.977175792,0.050703189,0.944438541,0.396055759,0.654313855,0.915028239,0.968317294,FALSE,D
NC,D,1.116724389,1.088852706,1.00559021,1.016052083,1.019434291,0.990943745,0.980695756,0.966122229,0.989409396,0.96699158,0.956008545,1.283131532,0.968103192,0.832492994,0.97397823,0.97679613,0.984346677,0.799835417,0.903672682,0.947298578,0.97038617,0.954455521,0.969852098,0.941932535,FALSE,D
NC,D,1.097613079,1.054259933,1.029781656,1.098884508,1.037301049,1.010195774,0.970667148,0.975322666,0.982424415,0.93246641,0.967277705,1.00925358,0.743685024,0.717532797,0.975879429,0.921066235,0.992888982,0.996191832,0.803831967,0.754446996,0.965663461,0.927734464,0.997143495,0.971929329,FALSE,R
VA,D,1.490651697,1.375148962,1.378465699,1.282014371,1.215267513,1.098805509,0.929677883,0.925818196,0.908018506,0.915882232,0.913263474,0.942356408,0.980991202,0.97529654,0.979669337,0.981913539,0.988357979,0.991224251,0.98840657,0.973910289,0.990509842,0.988792114,0.988269012,0.987297067,FALSE,R
VA,D,1.160710912,1.120047379,1.108650315,1.109688591,1.092049968,1.047957869,0.94577834,0.935285393,0.923017745,0.903084121,0.894796025,0.893265222,0.9776469,0.986284489,0.991215923,0.986642862,0.844577155,0.968094698,0.980080141,0.985975852,0.985065007,0.959145478,0.970496694,0.969672816,TRUE,D
VA,D,1.053796377,1.029104002,1.042848486,1.060924584,1.044002473,1.018834314,0.98181069,0.987328578,0.974612556,0.955799489,0.954956379,0.970567649,0.9786846,0.986494,0.986932701,0.982830625,0.886032606,0.96146618,0.98890177,0.992225263,0.988512734,0.974794072,0.869870444,0.974424113,FALSE,R
VA,D,1.279706382,1.137634595,1.12456341,1.09894104,1.07188045,1.057118257,0.945686613,0.959057488,0.952974033,0.951828873,0.948998168,0.92394557,0.964952503,0.984087895,0.992640342,0.923380386,0.982220338,0.922073326,0.883188643,0.978615425,0.989019691,0.904842271,0.969048759,0.919789916,FALSE,R
VA,D,1.010605425,0.999042796,0.993854421,0.983543902,0.97719766,0.982158685,0.984790487,1.000755569,1.017992225,1.059213564,1.095543251,1.098364568,0.925216694,0.942816131,0.950568266,0.673347097,0.90661758,0.964749674,0.949660534,0.916718111,0.905984404,0.742340283,0.853593548,0.869976107,FALSE,D
VA,D,1.059561279,1.038355189,1.034084627,1.031791355,1.028462329,1.023249494,0.90748612,0.929053367,0.928562704,0.925645355,0.91985866,0.903252318,0.988001918,0.992608513,0.987998668,0.988569976,0.984429605,0.855637454,0.989419003,0.986481976,0.970745853,0.985972565,0.951618699,0.876908579,FALSE,D
VA,D,1.110026814,1.028074378,1.017755852,1.004660588,1.014665547,1.004801975,0.949926455,0.976838508,0.979338929,0.994177767,0.975638516,0.989844825,0.972108574,0.938692775,0.947281818,0.887435372,0.700849525,0.796822788,0.967892824,0.96918285,0.820393136,0.899299264,0.639116167,0.840613602,TRUE,D
