DISTRICT,OFFICE,PRECINCT,COUNTY,STATE,DEM,REP
D2,U.S. Representative District 2,150,79,MN,175,158
D2,U.S. Representative District 2,153,70,MN,559,545
D2,U.S. Representative District 2,155,25,MN,535,297
D2,U.S. Representative District 2,155,66,MN,117,183
D2,U.S. Representative District 2,155,79,MN,54,74
D2,U.S. Representative District 2,156,70,MN,726,729
D2,U.S. Representative District 2,157,70,MN,31,15
D2,U.S. Representative District 2,158,70,MN,73,76
D2,U.S. Representative District 2,160,25,MN,476,357
D2,U.S. Representative District 2,160,70,MN,605,1343
D2,U.S. Representative District 2,160,79,MN,47,136
D2,U.S. Representative District 2,165,79,MN,136,275
D2,U.S. Representative District 2,170,25,MN,136,269
D2,U.S. Representative District 2,170,79,MN,18,46
D2,U.S. Representative District 2,175,25,MN,256,374
D2,U.S. Representative District 2,180,25,MN,210,287
D2,U.S. Representative District 2,185,25,MN,142,134
D2,U.S. Representative District 2,190,25,MN,154,319
D2,U.S. Representative District 2,195,25,MN,54,199
D2,U.S. Representative District 2,205,25,MN,197,213
D2,U.S. Representative District 2,210,25,MN,333,385
D2,U.S. Representative District 2,215,25,MN,383,510
D2,U.S. Representative District 2,220,25,MN,111,217
D2,U.S. Representative District 2,285,82,MN,304,225
D2,U.S. Representative District 2,295,82,MN,463,376
D2,U.S. Representative District 2,300,82,MN,401,349
D2,U.S. Representative District 2,1010,19,MN,747,657
D2,U.S. Representative District 2,1020,19,MN,804,587
D2,U.S. Representative District 2,1030,19,MN,753,535
D2,U.S. Representative District 2,1040,19,MN,955,659
D2,U.S. Representative District 2,1050,19,MN,866,710
D2,U.S. Representative District 2,1055,19,MN,1256,1051
D2,U.S. Representative District 2,1060,19,MN,589,426
D2,U.S. Representative District 2,1070,19,MN,1134,719
D2,U.S. Representative District 2,1080,19,MN,1101,783
D2,U.S. Representative District 2,1090,19,MN,953,864
D2,U.S. Representative District 2,1100,19,MN,1025,657
D2,U.S. Representative District 2,1110,19,MN,990,796
D2,U.S. Representative District 2,1120,19,MN,1212,847
D2,U.S. Representative District 2,1130,19,MN,1214,857
D2,U.S. Representative District 2,1140,19,MN,1187,661
D2,U.S. Representative District 2,1150,19,MN,825,432
D2,U.S. Representative District 2,1210,19,MN,1109,843
D2,U.S. Representative District 2,1220,19,MN,889,544
D2,U.S. Representative District 2,1230,19,MN,830,567
D2,U.S. Representative District 2,1240,19,MN,1124,744
D2,U.S. Representative District 2,1250,19,MN,817,301
D2,U.S. Representative District 2,1260,19,MN,1064,656
D2,U.S. Representative District 2,1270,19,MN,849,688
D2,U.S. Representative District 2,1280,19,MN,1395,1046
D2,U.S. Representative District 2,1290,19,MN,669,574
D2,U.S. Representative District 2,1300,19,MN,1016,778
D2,U.S. Representative District 2,1310,19,MN,901,753
D2,U.S. Representative District 2,1320,19,MN,834,509
D2,U.S. Representative District 2,1330,19,MN,1141,658
D2,U.S. Representative District 2,1340,19,MN,1022,695
D2,U.S. Representative District 2,1350,19,MN,1119,852
D2,U.S. Representative District 2,1360,19,MN,921,767
D2,U.S. Representative District 2,1370,19,MN,747,564
D2,U.S. Representative District 2,1410,19,MN,223,475
D2,U.S. Representative District 2,1510,19,MN,24,42
D2,U.S. Representative District 2,1610,19,MN,120,258
D2,U.S. Representative District 2,1710,19,MN,401,271
D2,U.S. Representative District 2,1720,19,MN,1391,749
D2,U.S. Representative District 2,1730,19,MN,1068,670
D2,U.S. Representative District 2,1740,19,MN,1285,724
D2,U.S. Representative District 2,1750,19,MN,1404,848
D2,U.S. Representative District 2,1755,19,MN,1079,690
D2,U.S. Representative District 2,1760,19,MN,1053,524
D2,U.S. Representative District 2,1765,19,MN,1418,881
D2,U.S. Representative District 2,1770,19,MN,1455,921
D2,U.S. Representative District 2,1780,19,MN,1326,887
D2,U.S. Representative District 2,1790,19,MN,1318,797
D2,U.S. Representative District 2,1795,19,MN,555,409
D2,U.S. Representative District 2,1800,19,MN,817,453
D2,U.S. Representative District 2,1810,19,MN,721,480
D2,U.S. Representative District 2,1820,19,MN,688,406
D2,U.S. Representative District 2,1830,19,MN,1312,793
D2,U.S. Representative District 2,1840,19,MN,903,648
D2,U.S. Representative District 2,1850,19,MN,909,589
D2,U.S. Representative District 2,1860,19,MN,1264,949
D2,U.S. Representative District 2,1870,19,MN,965,672
D2,U.S. Representative District 2,2010,19,MN,571,826
D2,U.S. Representative District 2,2110,19,MN,271,538
D2,U.S. Representative District 2,2210,19,MN,371,413
D2,U.S. Representative District 2,2220,19,MN,916,956
D2,U.S. Representative District 2,2230,19,MN,693,791
D2,U.S. Representative District 2,2240,19,MN,954,1266
D2,U.S. Representative District 2,2250,19,MN,833,957
D2,U.S. Representative District 2,2260,19,MN,657,783
D2,U.S. Representative District 2,2310,19,MN,176,272
D2,U.S. Representative District 2,2410,19,MN,105,155
D2,U.S. Representative District 2,2510,19,MN,156,326
D2,U.S. Representative District 2,2610,19,MN,590,564
D2,U.S. Representative District 2,2620,19,MN,554,624
D2,U.S. Representative District 2,2630,19,MN,547,533
D2,U.S. Representative District 2,2635,19,MN,656,632
D2,U.S. Representative District 2,2640,19,MN,698,656
D2,U.S. Representative District 2,2645,19,MN,666,633
D2,U.S. Representative District 2,2650,19,MN,668,897
D2,U.S. Representative District 2,2660,19,MN,633,596
D2,U.S. Representative District 2,2710,19,MN,953,926
D2,U.S. Representative District 2,2720,19,MN,837,829
D2,U.S. Representative District 2,2730,19,MN,973,1054
D2,U.S. Representative District 2,2740,19,MN,1187,904
D2,U.S. Representative District 2,2750,19,MN,1060,787
D2,U.S. Representative District 2,2760,19,MN,904,671
D2,U.S. Representative District 2,2770,19,MN,780,693
D2,U.S. Representative District 2,2780,19,MN,1022,699
D2,U.S. Representative District 2,2790,19,MN,801,329
D2,U.S. Representative District 2,2800,19,MN,926,544
D2,U.S. Representative District 2,2910,19,MN,843,835
D2,U.S. Representative District 2,2920,19,MN,1192,1445
D2,U.S. Representative District 2,2930,19,MN,695,850
D2,U.S. Representative District 2,2940,19,MN,785,879
D2,U.S. Representative District 2,2950,19,MN,784,844
D2,U.S. Representative District 2,2960,19,MN,648,871
D2,U.S. Representative District 2,2970,19,MN,669,948
D2,U.S. Representative District 2,2980,19,MN,662,812
D2,U.S. Representative District 2,2990,19,MN,724,894
D2,U.S. Representative District 2,3000,19,MN,756,954
D2,U.S. Representative District 2,3010,19,MN,923,1060
D2,U.S. Representative District 2,3020,19,MN,843,916
D2,U.S. Representative District 2,3030,19,MN,870,931
D2,U.S. Representative District 2,3040,19,MN,854,794
D2,U.S. Representative District 2,3050,19,MN,837,800
D2,U.S. Representative District 2,3060,19,MN,1427,1450
D2,U.S. Representative District 2,3070,19,MN,964,936
D2,U.S. Representative District 2,3110,19,MN,433,271
D2,U.S. Representative District 2,3210,19,MN,214,401
D2,U.S. Representative District 2,3310,19,MN,64,37
D2,U.S. Representative District 2,3410,19,MN,1042,671
D2,U.S. Representative District 2,3420,19,MN,815,702
D2,U.S. Representative District 2,3430,19,MN,1032,661
D2,U.S. Representative District 2,3440,19,MN,774,487
D2,U.S. Representative District 2,3450,19,MN,818,606
D2,U.S. Representative District 2,3510,19,MN,32,32
D2,U.S. Representative District 2,3610,19,MN,10,20
D2,U.S. Representative District 2,3710,19,MN,177,307
D2,U.S. Representative District 2,3810,19,MN,525,237
D2,U.S. Representative District 2,3910,19,MN,86,141
D2,U.S. Representative District 2,4010,19,MN,135,263
D2,U.S. Representative District 2,4110,19,MN,528,679
D2,U.S. Representative District 2,4210,19,MN,1261,1112
D2,U.S. Representative District 2,4220,19,MN,947,962
D2,U.S. Representative District 2,4230,19,MN,996,1024
D2,U.S. Representative District 2,4240,19,MN,695,539
D2,U.S. Representative District 2,4250,19,MN,598,579
D2,U.S. Representative District 2,4260,19,MN,678,578
D2,U.S. Representative District 2,4270,19,MN,1160,896
D2,U.S. Representative District 2,4310,19,MN,91,159
D2,U.S. Representative District 2,4410,19,MN,1309,726
D2,U.S. Representative District 2,4420,19,MN,782,485
D2,U.S. Representative District 2,4430,19,MN,1377,932
D2,U.S. Representative District 2,4440,19,MN,367,160
D2,U.S. Representative District 2,4450,19,MN,1609,975
D2,U.S. Representative District 2,4510,19,MN,151,204
D2,U.S. Representative District 2,4610,19,MN,102,122
D2,U.S. Representative District 2,4710,19,MN,218,381
D2,U.S. Representative District 2,4810,19,MN,150,141
D2,U.S. Representative District 2,4910,19,MN,1181,548
D2,U.S. Representative District 2,4920,19,MN,601,290
D2,U.S. Representative District 2,4940,19,MN,1453,689
D2,U.S. Representative District 2,4950,19,MN,729,320
D2,U.S. Representative District 2,4970,19,MN,998,522
D2,U.S. Representative District 2,4980,19,MN,1259,794
D2,U.S. Representative District 2,MAPPING_ERROR,79,MN,14,24
