COUNTY,PRECINCT,STATE,DEM,REP
BACON,DOUGLAS,GA,200,596
BRANTLEY,HOBOKEN,GA,58,868
BRANTLEY,NAHUNTA,GA,83,640
BRANTLEY,WAYNESVILLE,GA,102,833
BRYAN,BLACK CREEK,GA,165,608
BRYAN,DANIELSIDING,GA,130,373
BRYAN,ELLABELL,GA,119,558
BRYAN,HWY 144 EAST,GA,245,541
BRYAN,J.F. GREGORY PARK,GA,107,355
BRYAN,KELLER,GA,199,625
BRYAN,PEMBROKE,GA,194,371
BRYAN,PUBLIC SAFETY COMPLEX,GA,157,263
BRYAN,RH REC COMPLEX,GA,241,389
BRYAN,WAYS STATION,GA,140,225
CAMDEN,BROWNTOWN,GA,34,190
CAMDEN,EAST KINGSLAND,GA,413,868
CAMDEN,HARRIETTS BLUFF,GA,93,468
CAMDEN,KINGSLAND,GA,141,279
CAMDEN,MARY LEE CLARK,GA,314,479
CAMDEN,MUSH BLUFF,GA,213,514
CAMDEN,NORTH KINGSLAND,GA,254,295
CAMDEN,NORTH ST MARYS,GA,145,160
CAMDEN,SOUTH ST MARYS,GA,140,279
CAMDEN,TARBORO,GA,77,195
CAMDEN,WAVERLY,GA,106,318
CAMDEN,WEST KINGSLAND,GA,183,481
CAMDEN,WEST SAINT MARYS,GA,162,506
CAMDEN,WOODBINE,GA,116,256
CHARLTON,AMERICAN LEGION,GA,14,139
CHARLTON,FOLKSTON,GA,300,203
CHARLTON,FOLKSTON FIRE STATION,GA,18,153
CHARLTON,GA BEND,GA,13,171
CHARLTON,HOMELAND,GA,20,178
CHARLTON,RACEPOND,GA,5,95
CHARLTON,ST. GEORGE,GA,14,202
CHARLTON,WINOKUR,GA,7,89
CHATHAM,1-01,GA,765,653
CHATHAM,1-05,GA,462,364
CHATHAM,1-06,GA,243,511
CHATHAM,1-08,GA,204,391
CHATHAM,1-09,GA,103,100
CHATHAM,1-10,GA,115,427
CHATHAM,1-12,GA,215,713
CHATHAM,1-13,GA,181,321
CHATHAM,1-14,GA,158,447
CHATHAM,1-16,GA,263,905
CHATHAM,1-17,GA,289,835
CHATHAM,2-02,GA,323,76
CHATHAM,2-03,GA,397,71
CHATHAM,2-04,GA,804,69
CHATHAM,2-05,GA,612,60
CHATHAM,2-06,GA,169,42
CHATHAM,2-07,GA,728,142
CHATHAM,2-09,GA,829,148
CHATHAM,2-11,GA,436,84
CHATHAM,2-12,GA,418,77
CHATHAM,3-01,GA,93,78
CHATHAM,3-02,GA,298,244
CHATHAM,3-03,GA,281,38
CHATHAM,3-04,GA,493,39
CHATHAM,3-05,GA,467,184
CHATHAM,3-08,GA,269,132
CHATHAM,3-09,GA,110,214
CHATHAM,3-10,GA,660,112
CHATHAM,3-11,GA,384,85
CHATHAM,3-12,GA,306,347
CHATHAM,3-13,GA,476,276
CHATHAM,3-14,GA,451,167
CHATHAM,3-15,GA,141,110
CHATHAM,4-02,GA,275,535
CHATHAM,4-04,GA,253,760
CHATHAM,4-05,GA,293,693
CHATHAM,4-06,GA,237,708
CHATHAM,4-07,GA,357,860
CHATHAM,4-08,GA,287,899
CHATHAM,4-10,GA,277,493
CHATHAM,4-11,GA,319,500
CHATHAM,4-12,GA,251,914
CHATHAM,4-13,GA,285,991
CHATHAM,4-14,GA,209,663
CHATHAM,4-15,GA,213,680
CHATHAM,5-01,GA,234,78
CHATHAM,5-02,GA,191,26
CHATHAM,5-03,GA,299,18
CHATHAM,5-05,GA,800,28
CHATHAM,5-06,GA,498,88
CHATHAM,5-07,GA,394,154
CHATHAM,5-08,GA,406,175
CHATHAM,5-10,GA,898,43
CHATHAM,5-11,GA,558,172
CHATHAM,6-01,GA,354,234
CHATHAM,6-02,GA,360,618
CHATHAM,6-03,GA,448,400
CHATHAM,6-05,GA,359,238
CHATHAM,6-06,GA,225,229
CHATHAM,6-08,GA,442,169
CHATHAM,6-09,GA,595,543
CHATHAM,6-10,GA,628,716
CHATHAM,6-11,GA,797,411
CHATHAM,7-01,GA,195,301
CHATHAM,7-03,GA,132,386
CHATHAM,7-04,GA,680,274
CHATHAM,7-05,GA,245,186
CHATHAM,7-06,GA,389,583
CHATHAM,7-07,GA,596,1048
CHATHAM,7-08,GA,129,804
CHATHAM,7-09,GA,388,364
CHATHAM,7-10,GA,623,423
CHATHAM,7-11,GA,782,551
CHATHAM,7-12,GA,648,803
CHATHAM,7-13,GA,247,606
