DISTRICT,OFFICE,PRECINCT,COUNTY,STATE,DEM,REP
D6,U.S. Representative District 6,5,2,MN,567,1114
D6,U.S. Representative District 6,5,5,MN,78,248
D6,U.S. Representative District 6,5,10,MN,102,299
D6,U.S. Representative District 6,5,71,MN,393,989
D6,U.S. Representative District 6,5,86,MN,1050,1866
D6,U.S. Representative District 6,10,2,MN,589,957
D6,U.S. Representative District 6,10,5,MN,287,571
D6,U.S. Representative District 6,10,10,MN,114,354
D6,U.S. Representative District 6,10,71,MN,600,1160
D6,U.S. Representative District 6,10,86,MN,199,428
D6,U.S. Representative District 6,15,2,MN,726,1083
D6,U.S. Representative District 6,15,5,MN,27,57
D6,U.S. Representative District 6,15,10,MN,1020,1167
D6,U.S. Representative District 6,15,71,MN,573,1687
D6,U.S. Representative District 6,15,86,MN,509,801
D6,U.S. Representative District 6,20,2,MN,590,781
D6,U.S. Representative District 6,20,5,MN,106,279
D6,U.S. Representative District 6,20,71,MN,386,671
D6,U.S. Representative District 6,20,73,MN,243,524
D6,U.S. Representative District 6,20,86,MN,1202,1885
D6,U.S. Representative District 6,22,71,MN,355,601
D6,U.S. Representative District 6,24,71,MN,706,1184
D6,U.S. Representative District 6,25,2,MN,754,1177
D6,U.S. Representative District 6,25,5,MN,84,273
D6,U.S. Representative District 6,25,71,MN,418,794
D6,U.S. Representative District 6,25,73,MN,127,465
D6,U.S. Representative District 6,25,86,MN,779,1272
D6,U.S. Representative District 6,27,73,MN,174,356
D6,U.S. Representative District 6,30,2,MN,469,964
D6,U.S. Representative District 6,30,5,MN,59,205
D6,U.S. Representative District 6,30,71,MN,253,665
D6,U.S. Representative District 6,30,86,MN,591,995
D6,U.S. Representative District 6,31,86,MN,35,35
D6,U.S. Representative District 6,35,2,MN,480,810
D6,U.S. Representative District 6,35,5,MN,74,263
D6,U.S. Representative District 6,35,71,MN,72,137
D6,U.S. Representative District 6,35,73,MN,394,1061
D6,U.S. Representative District 6,35,86,MN,254,744
D6,U.S. Representative District 6,40,2,MN,544,893
D6,U.S. Representative District 6,40,5,MN,106,388
D6,U.S. Representative District 6,40,71,MN,278,608
D6,U.S. Representative District 6,40,86,MN,204,515
D6,U.S. Representative District 6,45,2,MN,617,950
D6,U.S. Representative District 6,45,5,MN,93,285
D6,U.S. Representative District 6,45,71,MN,516,819
D6,U.S. Representative District 6,45,73,MN,595,1170
D6,U.S. Representative District 6,45,86,MN,238,436
D6,U.S. Representative District 6,50,2,MN,775,996
D6,U.S. Representative District 6,50,5,MN,104,320
D6,U.S. Representative District 6,50,71,MN,420,977
D6,U.S. Representative District 6,50,73,MN,415,636
D6,U.S. Representative District 6,50,86,MN,219,491
D6,U.S. Representative District 6,55,5,MN,176,610
D6,U.S. Representative District 6,55,71,MN,365,556
D6,U.S. Representative District 6,55,73,MN,361,299
D6,U.S. Representative District 6,55,86,MN,336,799
D6,U.S. Representative District 6,56,5,MN,0,4
D6,U.S. Representative District 6,60,5,MN,231,455
D6,U.S. Representative District 6,60,71,MN,481,822
D6,U.S. Representative District 6,60,86,MN,134,528
D6,U.S. Representative District 6,65,10,MN,289,559
D6,U.S. Representative District 6,65,71,MN,327,725
D6,U.S. Representative District 6,65,86,MN,402,966
D6,U.S. Representative District 6,70,5,MN,410,379
D6,U.S. Representative District 6,70,10,MN,205,483
D6,U.S. Representative District 6,70,71,MN,307,727
D6,U.S. Representative District 6,70,73,MN,226,560
D6,U.S. Representative District 6,70,86,MN,12,14
D6,U.S. Representative District 6,75,10,MN,60,187
D6,U.S. Representative District 6,75,71,MN,453,1157
D6,U.S. Representative District 6,75,86,MN,1079,1887
D6,U.S. Representative District 6,80,5,MN,427,330
D6,U.S. Representative District 6,80,10,MN,40,136
D6,U.S. Representative District 6,80,71,MN,379,855
D6,U.S. Representative District 6,85,5,MN,260,165
D6,U.S. Representative District 6,85,10,MN,129,414
D6,U.S. Representative District 6,85,71,MN,24,24
D6,U.S. Representative District 6,85,73,MN,217,519
D6,U.S. Representative District 6,85,86,MN,431,1083
D6,U.S. Representative District 6,90,5,MN,120,425
D6,U.S. Representative District 6,90,71,MN,383,238
D6,U.S. Representative District 6,90,86,MN,179,411
D6,U.S. Representative District 6,95,5,MN,338,497
D6,U.S. Representative District 6,95,10,MN,270,658
