,COUNTY,PRECINCT,STATE,DEM,REP
0,ARKANSAS,ALMYRA,AR,0,0
1,ARKANSAS,ARKANSAS,AR,0,0
2,ARKANSAS,BARTON,AR,0,0
3,ARKANSAS,BAYOU METO,AR,0,0
4,ARKANSAS,BREWER,AR,0,0
5,ARKANSAS,CHESTER,AR,6,38
6,ARKANSAS,CROCKETT,AR,0,0
7,ARKANSAS,DEWITT WARD 1,AR,0,0
8,ARKANSAS,DEWITT WARD 2,AR,0,0
9,ARKANSAS,DEWITT WARD 3,AR,0,0
10,ARKANSAS,GARLAND,AR,0,0
11,ARKANSAS,GILLETT WARD 1,AR,0,0
12,ARKANSAS,GILLETT WARD 2,AR,0,0
13,ARKANSAS,GILLETT WARD 3,AR,0,0
14,ARKANSAS,GUM POND,AR,0,0
15,ARKANSAS,HENTON,AR,0,0
16,ARKANSAS,HUMPHREY WARD 1,AR,0,0
17,ARKANSAS,HUMPHREY WARD 3,AR,0,0
18,ARKANSAS,KEATON,AR,0,0
19,ARKANSAS,LAGRUE,AR,0,0
20,ARKANSAS,MCFALL,AR,0,0
21,ARKANSAS,MILL BAYOU,AR,0,0
22,ARKANSAS,MORRIS,AR,0,0
23,ARKANSAS,PRAIRIE,AR,0,0
24,ARKANSAS,PT DELUCE,AR,0,0
25,ARKANSAS,ST. CHARLES,AR,0,0
26,ARKANSAS,STANLEY,AR,0,0
27,ARKANSAS,STUTTGART WARD 1,AR,0,0
28,ARKANSAS,STUTTGART WARD 2,AR,0,0
29,ARKANSAS,STUTTGART WARD 3,AR,0,0
30,BAXTER,1-1,AR,0,0
31,BAXTER,1-2,AR,0,0
32,BAXTER,1-3,AR,0,0
33,BAXTER,10-1,AR,0,0
34,BAXTER,10-2,AR,0,0
35,BAXTER,10-3,AR,0,0
36,BAXTER,11-1,AR,0,0
37,BAXTER,11-2,AR,0,0
38,BAXTER,11-3,AR,0,0
39,BAXTER,11-4,AR,0,0
40,BAXTER,11-5,AR,0,0
41,BAXTER,11-6,AR,0,0
42,BAXTER,11-7,AR,0,0
43,BAXTER,11-8,AR,0,0
44,BAXTER,11-9,AR,0,0
45,BAXTER,2-1,AR,0,0
46,BAXTER,2-2,AR,0,0
47,BAXTER,2-3,AR,0,0
48,BAXTER,3-1,AR,0,0
49,BAXTER,3-2,AR,0,0
50,BAXTER,3-3,AR,0,0
51,BAXTER,3-4,AR,0,0
52,BAXTER,4-1,AR,0,0
53,BAXTER,4-2,AR,0,0
54,BAXTER,5-1,AR,0,0
55,BAXTER,5-2,AR,0,0
56,BAXTER,5-3,AR,7,10
57,BAXTER,5-4,AR,0,0
58,BAXTER,6-1,AR,0,0
59,BAXTER,6-2,AR,0,0
60,BAXTER,6-3,AR,0,0
61,BAXTER,7-1,AR,0,0
62,BAXTER,7-2,AR,0,0
63,BAXTER,7-3,AR,0,0
64,BAXTER,8-1,AR,0,0
65,BAXTER,8-2,AR,0,0
66,BAXTER,8-3,AR,13,23
67,BAXTER,8-4,AR,0,0
68,BAXTER,8-5,AR,0,0
69,BAXTER,9-1,AR,0,0
70,BAXTER,9-2,AR,0,0
71,BAXTER,9-3,AR,0,0
72,BAXTER,9-4,AR,0,0
73,CHICOT,BOWIE 1,AR,0,0
74,CHICOT,BOWIE 2,AR,0,0
75,CHICOT,BOWIE 3,AR,139,42
76,CHICOT,BOWIE RURAL,AR,0,0
77,CHICOT,CARLTON 1 & 2,AR,0,0
78,CHICOT,CARLTON 3,AR,0,0
79,CHICOT,CARLTON RURAL,AR,73,230
80,CHICOT,PLANTERS 1,AR,0,0
81,CHICOT,PLANTERS 2,AR,0,0
82,CHICOT,PLANTERS 3,AR,0,0
83,CHICOT,PLANTERS 4,AR,115,4
84,CHICOT,PLANTERS RURAL,AR,0,0
85,CLAY,BENNETT AND LEMMONS,AR,0,0
86,CLAY,BRADSHAW & HAYWOOD,AR,6,102
87,CLAY,BROWN & CARPENTER,AR,0,0
88,CLAY,CACHE & WILSON,AR,0,0
89,CLAY,CLARK,AR,9,31
90,CLAY,EAST OAK BLUFF & BLUE CANE,AR,0,0
91,CLAY,JOHNSON,AR,0,0
92,CLAY,KNOB,AR,0,0
93,CLAY,LIDDELL & CHALK BLUFF,AR,0,0
94,CLAY,N KILGORE & CLEVELAND,AR,0,0
95,CLAY,NELSON,AR,0,0
96,CLAY,NORTH ST. FRANCIS,AR,0,0
97,CLAY,PAYNE & SWAIN,AR,0,0
98,CLAY,POLLARD,AR,24,98
99,CLAY,S KILGORE & GLEGHORN,AR,0,0
100,CLAY,SOUTH ST. FRANCIS,AR,0,0
101,CLAY,WEST OAK BLUFF,AR,0,0
102,CLEBURNE,CALIFORNIA-006,AR,0,0
103,CLEBURNE,CENTER POST-007,AR,0,0
104,CLEBURNE,CLAYTON-008,AR,0,0
105,CLEBURNE,EAST PETER CREEK-023,AR,0,0
106,CLEBURNE,FRANCIS-009,AR,0,0
107,CLEBURNE,GILES-013,AR,0,0
108,CLEBURNE,GRASSEY INSIDE-010,AR,0,0
109,CLEBURNE,GRASSEY OUTSIDE-011,AR,0,0
110,CLEBURNE,GREERS FERRY GILES-012,AR,0,0
111,CLEBURNE,HEALING SPRINGS-014,AR,0,0
112,CLEBURNE,HEBER SPRINGS OUTSIDE-019,AR,0,0
113,CLEBURNE,HEBER SPRINGS WARD 1-015,AR,0,0
114,CLEBURNE,HEBER SPRINGS WARD 2-016,AR,0,0
115,CLEBURNE,HEBER SPRINGS WARD 3-017,AR,0,0
116,CLEBURNE,HEBER SPRINGS WARD 4-018,AR,0,0
117,CLEBURNE,MCJESTER-020,AR,0,0
118,CLEBURNE,MORGAN INSIDE-035,AR,0,0
119,CLEBURNE,MORGAN OUTSIDE-021,AR,25,94
120,CLEBURNE,MOUNTAIN-022,AR,0,0
121,CLEBURNE,NORTH CADRON INSIDE-002,AR,0,0
122,CLEBURNE,NORTH CADRON OUTSIDE-003,AR,0,0
123,CLEBURNE,PICKENS-025,AR,0,0
124,CLEBURNE,PINE-026,AR,5,58
125,CLEBURNE,PINEY-027,AR,0,0
126,CLEBURNE,POFF-028,AR,0,0
127,CLEBURNE,SALINE INSIDE-029,AR,0,0
128,CLEBURNE,SALINE OUTSIDE-030,AR,0,0
129,CLEBURNE,SOUTH CADRON INSIDE-004,AR,0,0
130,CLEBURNE,SOUTH CADRON OUTSIDE-005,AR,0,0
131,CLEBURNE,SUGAR CAMP-031,AR,0,0
132,CLEBURNE,SUGAR LOAF-032,AR,0,0
133,CLEBURNE,VALLEY-033,AR,0,0
134,CLEBURNE,WEST PETER CREEK-024,AR,0,0
135,CLEBURNE,WILBURN-034,AR,0,0
136,CRAIGHEAD,PRECINCT 1,AR,0,0
