COUNTY,PRECINCT,STATE,DEM,REP
BALDWIN,BODDIE,GA,231,52
BALDWIN,CITY HALL ANNEX,GA,126,51
BALDWIN,COOPERS,GA,130,358
BALDWIN,COURTHOUSE,GA,65,44
BALDWIN,EAST BALDWIN,GA,360,543
BALDWIN,EAST HARDWICK,GA,222,45
BALDWIN,FIRE DEPT,GA,203,63
BALDWIN,MERIWEATHER,GA,210,419
BALDWIN,NORTH BALDWIN,GA,159,645
BALDWIN,NORTH MILL,GA,212,241
BALDWIN,SCOTTSBORO,GA,125,178
BALDWIN,SOUTH MILL,GA,173,74
BALDWIN,WEST BALDWIN,GA,224,241
BALDWIN,WEST HARDWICK,GA,496,128
BARROW,01 BETHLEHEM COMMUNITY CENTER,GA,176,755
BARROW,02 BETHLEHEM CHURCH - 211,GA,184,855
BARROW,03 BRAMLETT ELEMENTARY SCHOOL,GA,177,735
BARROW,04 WESTSIDE MIDDLE SCHOOL,GA,137,528
BARROW,05 FIRE STATION 1 (STATHAM),GA,336,979
BARROW,06 WINDER BARROW HIGH SCHOOL,GA,161,400
BARROW,07 STATHAM ELEMENTARY SCHOOL,GA,254,624
BARROW,08 FIRST BAPTIST CHURCH,GA,168,652
BARROW,09 LIONS CLUB,GA,153,581
BARROW,10 LEISURE SERVICES CENTER,GA,281,333
BARROW,11 APALACHEE HIGH SCHOOL,GA,291,765
BARROW,12 MIDWAY UNITED METHODIST CHURCH,GA,166,713
BARROW,13 WINDER COMMUNITY CENTER,GA,179,396
BARROW,14 CEDAR CREEK BAPTIST CHURCH,GA,78,306
BARROW,15 COUNTY LINE ELEMENTARY SCHOOL,GA,157,788
BARROW,16 THE CHURCH AT WINDER,GA,432,965
BUTTS,BUTTS CO ADMIN BLDG,GA,748,1415
CLARKE,1B E. ATHENS BAPTIST,GA,546,333
CLARKE,1C BARNETT SHLS SCHOOL,GA,376,334
CLARKE,1D WHIT DAVIS SCHOOL,GA,541,469
CLARKE,2B HOWARD STROUD SCHOOL,GA,917,149
CLARKE,3A CLARKE CENTRAL HIGH,GA,454,70
CLARKE,3B THOMAS N. LAY PARK,GA,674,241
CLARKE,4A ATHENS TRANSIT CTR,GA,325,122
CLARKE,4B MEMORIAL PARK,GA,671,372
CLARKE,5A OGLETHORPE SCHOOL,GA,550,297
CLARKE,5B WHITEHEAD RD SCHOOL,GA,556,288
CLARKE,5C CHASE STREET SCHOOL,GA,531,112
CLARKE,6A CLEVELAND RD SCHOOL,GA,446,556
CLARKE,6B GEORGIA SQUARE MALL,GA,577,415
CLARKE,6C TIMOTHY RD ELEM SCHL,GA,486,457
CLARKE,6D FIRESTATION #4,GA,392,179
CLARKE,7A TIMOTHY BPTST CHURCH,GA,436,345
