DISTRICT,STATE,CLINTON,TRUMP,New_Dem,New_Rep,Strata_1_corr(DD),Strata_1_corr(RR),Strata_1_%_votes_represented,Strata_2_corr(DD),Strata_2_corr(RR),Strata_2_%_votes_represented,Strata_3_corr(DD),Strata_3_corr(RR),Strata_3_%_votes_represented,Winner
2,VA,143784,155473,117368,142797,0.8330229267890866,0.8186814718203128,100,0.9810127145944021,0.994553523957091,100,0.6617730174556415,0.6641512315436008,100,Republican
5,VA,154219,194875,155378,146105,0.8816242337645923,0.8926683005536771,100,0.8809656270318922,0.8995225919648805,100,0.6198030570702215,0.6215773139519083,100,Democratic
8,VA,264303,75337,61069,245823,0.6802057245428554,0.6780188456279465,100,0.9957638185521251,0.9948841421233516,100,0.9756644921341422,0.9823426801823038,100,Republican
9,VA,85752,213821,155030,84973,0.9556519560743013,0.9431555346119165,100,0.9482990732855174,0.9509836777268953,100,0.4884788795300892,0.5511020668846363,100,Democratic
7,VA,170361,196885,161043,180606,0.848276734320988,0.8406328535263946,100,0.9084189518385491,0.9389474472547309,100,0.8709090689160807,0.8977258613876371,100,Republican
6,VA,119968,206594,157234,115566,0.9520981383974424,0.81355547479142,100,0.8752862640672369,0.9297347769997589,100,0.29957247024297795,0.41489904828609614,100,Democratic
1,VA,163463,212353,164858,160420,0.8695125974756844,0.8786388622765758,100,0.944629485543628,0.9284306217454587,100,0.9137918210582995,0.9210445800231413,100,Democratic
4,VA,212338,134603,101525,190301,0.8378462210992984,0.8376026778367207,100,0.8201215711665164,0.7671389271399979,100,0.7666937190223856,0.7655794963621627,100,Republican
3,VA,197852,101009,71514,173573,0.680905166099057,0.734382835991236,100,0.7560581988221342,0.7864568535481109,100,0.748763428883203,0.6658140350040573,100,Republican
10,VA,209853,169506,136721,211300,0.787231670764487,0.8595564661604891,100,0.7849451083566623,0.8642107572633804,100,0.9920517733098757,0.9874228884234864,100,Republican
11,VA,238750,98123,76995,223644,0.9302360262796665,0.9477578531697493,100,0.9229336793332502,0.9634129622463091,100,0.9892322925674107,0.9896219798098087,100,Republican
