DISTRICT,STATE,Strata_1_corr(DD),Strata_1_corr(RR),Strata_1_DRatio,Strata_1_RRatio,Strata_1_%_votes_represented,Strata_2_corr(DD),Strata_2_corr(RR),Strata_2_DRatio,Strata_2_RRatio,Strata_2_%_votes_represented,Strata_3_corr(DD),Strata_3_corr(RR),Strata_3_DRatio,Strata_3_RRatio,Strata_3_%_votes_represented,Winner
1,MN,0.9880111803654431,0.9938838819484709,1.248442228947837,0.7965523773441939,0.15420925633164576,0.9946006128477309,0.9947070185401315,1.248442228947837,0.7965523773441939,0.29986111022215967,0.9909961249662775,0.9829523656600977,1.1546155513578795,0.8092888432914814,0.5459296334461946,Republican
2,MN,0.9970356533976406,0.995919030518388,1.0864730131339277,0.8622566613581802,0.1813139956323071,0.9871629597113767,0.9779337619985583,1.0864730131339277,0.8622566613581802,0.3874339516096504,0.9893805292613045,0.9703654076625836,1.0479576569764635,0.9082788279381059,0.4312520527580425,Democratic
3,MN,0.9948185038039208,0.9842608084748885,1.030261348005502,0.9448620458584622,0.3424057340777728,0.9869253669705234,0.9692946912011794,1.030261348005502,0.9448620458584622,0.3262349354806988,0.9594226061311921,0.9600678528543962,1.0070165422119386,1.0056926713947991,0.3313593304415284,Democratic
4,MN,0.9829119648517864,0.9709532106457219,1.0247823600432102,0.8928577848886332,0.3592670134859581,0.9407522806262487,0.9535575052553655,1.0247823600432102,0.8928577848886332,0.3286471320751287,0.9718872504007262,0.9413357974391878,0.9924307898185062,0.8943943807682884,0.31208585443891323,Democratic
5,MN,0.9877876347077423,0.9463970235626477,0.9483946153501367,1.0211530863447102,0.29196606392405616,0.9825772345908861,0.9042779634612211,0.9483946153501367,1.0211530863447102,0.3796167130202347,0.986612344333188,0.945342349033814,0.9845438132265985,1.1182628771594618,0.3284172230557091,Democratic
6,MN,0.992992500160518,0.9855508359136183,1.0367531710815292,0.8431253065410282,0.26207114421020916,0.9970416993662099,0.9914891506646237,1.0367531710815292,0.8431253065410282,0.4070506539054433,0.9848433346781106,0.9845910088175257,0.9870183906132979,0.8929849599297398,0.3308782018843475,Republican
7,MN,0.9812831785929078,0.9891150904891416,1.8323870265225168,0.6445150391127107,0.215454882982537,0.9899955791158966,0.9920947069154618,1.8323870265225168,0.6445150391127107,0.3431818763762995,0.9878957108470883,0.9918403422849358,1.493150256474415,0.6575901340881607,0.4413632406411635,Democratic
8,MN,0.9937224181951714,0.9939726587303999,1.1000843407365757,0.7856806109941227,0.25809822044168523,0.9892043493898299,0.9935027933275145,1.1000843407365757,0.7856806109941227,0.3449469838020405,0.9734259868247732,0.9590169128124381,1.0599672336529657,0.8136517539964476,0.3969547957562743,Republican
