STATE,RACE,S1_DEM_RATIO,S2_DEM_RATIO,S3_DEM_RATIO,S1_REP_RATIO,S2_REP_RATIO,S3_REP_RATIO,S1_COR(DD),S2_COR(DD),S3_COR(DD),S1_COR(RR),S2_COR(RR),S3_COR(RR),WINNER
GA,D,0.9326622683245989,0.9183818688523181,0.9571001268952702,1.0178491515703194,1.0438273084728482,1.6461599291747528,0.9575913942237163,0.9841895043158235,0.9734156400562929,0.9625783146195892,0.9502276796579966,0.9659176347063217,R
GA,D,1.035852064528379,0.9635785208774127,0.9673929198866884,0.9967363518434319,1.0065121625455014,1.0168856101704984,0.9713728509950584,0.9676883240395128,0.9271914605425974,0.981964611570267,0.9660313842069089,0.9485996601217966,R
GA,D,1.0453964689884507,1.0127190216541027,1.0106928247033418,0.9562265902791718,0.9571055083585479,0.9457820529555985,0.9675281940700663,0.9073232167632039,0.850978818573082,0.9618706078511654,0.953398329557913,0.6085627408138774,D
GA,D,1.1021863038015702,1.015680416126675,0.9814055586490718,0.9886341517482401,0.9976059138948784,1.023510945617641,0.9566814516980894,0.9599222094126568,0.9701828319091755,0.9856497644855536,0.9765581818836688,0.985133679781632,R
GA,D,1.0435037627284878,0.978455954646594,0.9863440943197856,0.9941084958312477,1.008740788968289,1.2346392427681856,0.9726067268599726,0.9664004338589969,0.9618863417847096,0.9780703350567058,0.9562072515849463,0.9725801514762294,R
GA,D,1.0080740093810392,0.9930183269547701,0.9964608526814076,0.9936013995942343,1.0083922705398056,1.0078853738625417,0.9698438636391213,0.929706089236529,0.9722141997288951,0.9720571020914621,0.9587882876110666,0.9549429610308144,D
GA,D,1.0420535989076092,0.9631164822438959,0.9715501603526896,0.9911224889649012,1.01714119847427,1.0312672698279173,0.9133545000200226,0.9395752726740236,0.9629019707200548,0.8317345612062583,0.8717181735314747,0.941742990825579,R
GA,D,0.9757448120022673,0.9800858298954015,0.958777948406738,1.0058815134480272,1.0090976763582036,1.110655055298819,0.95040219296125,0.9887640445829629,0.9637711799541122,0.9674619928986544,0.9805591798893011,0.970197381191794,R
GA,D,0.9467179234494938,0.9432943696571928,0.9674325073741088,1.0104742578499908,1.0225142190621315,1.084983704906109,0.9697483621567868,0.9676590997833775,0.8956032895096823,0.9710806205491495,0.9829585466071248,0.9308125903643211,R
GA,D,1.0470597365966983,1.0068954183210133,1.001390805775504,0.964498080262379,0.9874243490525715,0.9750942896799837,0.9487191246419624,0.9053668198768876,0.8179721659771084,0.9426528701547107,0.9021859196804705,0.8749753313838058,D
GA,D,1.572554279529804,1.1228393216356884,1.0041083958653287,0.9038686969058011,0.8840055261686847,1.1275707336147425,0.9610910659769096,0.9813569222103653,0.9772509044031253,0.9869260483655723,0.9896122553998463,0.9842895701078276,D
AR,D,1.0782393848878786,0.8482423892569739,0.8659222810417512,0.9965083697401944,1.0541491102119762,1.3511304866708604,0.7839612572351036,0.7299964340170573,0.9133094874808988,0.8600053229532144,0.6720032158862079,0.6185861832823318,R
AR,D,1.0626485770869638,0.8823730724740368,0.8889811289895915,1.0023570107396456,1.0437697806804518,1.1146517591445746,0.8328407966378044,0.9023573735309932,0.9420921705913957,0.8156396422599889,0.8357489413497643,0.9463417540035419,R
AR,D,1.0984440090857701,0.9656272338385256,0.9534497598320197,0.992331826359123,1.0113348667909345,1.3194615563411118,0.7624583945315461,0.7422813123512633,0.7368631818934289,0.8880489694675732,0.7421111337804891,0.7432170611423156,R
AR,D,1.3746770305941918,1.1597892090330817,1.0206389195559464,0.9440714683528452,0.9532739237256065,1.0062374620562313,0.31883938070072537,0.48115543495587987,0.4510049279734409,0.6176852525121017,0.5033151177045166,-0.030533526754273857,R
AR,G,1.0488779633296372,0.8465088842878836,0.8435476042198845,1.0007901593023556,1.053342542379078,1.6139662150007024,0.7128708343429085,0.6764829562851125,0.9456289393089378,0.8310585544576102,0.6618666960444081,0.9231329807639715,R
NM,D,1.0806197010030327,1.0554693270718596,1.0239256395428493,0.9473020162267789,0.9127743411321205,0.9205539619431315,0.9899479902264224,0.9815660687087557,0.9670335206949378,0.9918188839341902,0.9720676552155254,0.9581748298720066,D
NM,D,1.4137895752854566,1.1482682150923549,1.0628760025089636,0.8587460316643767,0.7345354783837057,0.6989780961606209,0.9900935100071176,0.9939503040715548,0.9941995860935081,0.9833942060371105,0.9851493930442219,0.9785313900542115,D
NM,D,1.3367798249521956,1.1710195497707898,1.0522302669415216,0.9166909296466682,0.8751060449697885,0.9315452435878586,0.9840753846277908,0.9785306729623076,0.9441323452969553,0.9923142838361014,0.9842067748514355,0.9765252220937622,D
MN,D,2.465381941694844,1.7356290244167416,1.4595528686814394,0.7095704756717706,0.695988368192959,0.6797168119359613,0.9811241864700382,0.9900029241925828,0.9879418729411029,0.9892304157818774,0.9919023072905002,0.9918925099105615,D
MN,D,1.4265701735966563,1.2484605123317578,1.1533038545192873,0.8854649689289527,0.8741691753576765,0.8522522921783827,0.9878512448346095,0.994591690792541,0.9909961249662775,0.9937653230169492,0.9947044998967232,0.9829523656600977,R
MN,D,1.1877130265764064,1.0692536421873762,1.0368680348760417,0.9453532467880323,0.9629685674727749,0.9658743194534438,0.9927247208890122,0.9969058646373326,0.9842660303082729,0.9849437229202478,0.9909785904063658,0.9845580374230989,R
MN,D,1.3430896548326607,1.1828485402579714,1.0637412651561997,0.9095757404935938,0.894864772753559,0.9243472891613519,0.993460053390168,0.9891584073821497,0.9733580724837727,0.9936674229924368,0.9935430180143044,0.9589546232556418,R
