STATE,COUNTY,PRECINCT,REP,DEM,CHRISTOPHER MANNING
NM,SAN JUAN,17,22.0,83.0,10.0
NM,SAN JUAN,18,126.0,309.0,75.0
NM,SAN JUAN,19,22.0,98.0,13.0
NM,SAN JUAN,20,137.0,433.0,80.0
NM,SAN JUAN,21,258.0,173.0,91.0
NM,SAN JUAN,22,265.0,329.0,98.0
NM,SAN JUAN,23,235.0,147.0,102.0
NM,SAN JUAN,24,141.0,65.0,93.0
NM,SAN JUAN,25,179.0,91.0,90.0
NM,SAN JUAN,26,124.0,124.0,33.0
NM,SAN JUAN,27,234.0,285.0,66.0
NM,SAN JUAN,28,224.0,113.0,27.0
NM,SAN JUAN,29,142.0,110.0,30.0
NM,SAN JUAN,30,423.0,190.0,47.0
NM,SAN JUAN,31,651.0,271.0,93.0
NM,SAN JUAN,32,93.0,67.0,13.0
NM,SAN JUAN,33,211.0,137.0,30.0
NM,SAN JUAN,34,165.0,138.0,32.0
NM,SAN JUAN,35,149.0,117.0,18.0
NM,SAN JUAN,36,214.0,89.0,16.0
NM,SAN JUAN,37,207.0,114.0,36.0
NM,SAN JUAN,38,317.0,153.0,47.0
NM,SAN JUAN,39,589.0,224.0,75.0
NM,SAN JUAN,40,244.0,147.0,39.0
NM,SAN JUAN,41,539.0,179.0,48.0
NM,SAN JUAN,42,481.0,153.0,47.0
NM,SAN JUAN,43,210.0,142.0,48.0
NM,SAN JUAN,44,494.0,209.0,57.0
NM,SAN JUAN,45,275.0,161.0,38.0
NM,SAN JUAN,46,312.0,122.0,44.0
NM,SAN JUAN,47,125.0,46.0,16.0
NM,SAN JUAN,48,427.0,112.0,33.0
NM,SAN JUAN,49,583.0,229.0,69.0
NM,SAN JUAN,50,163.0,200.0,32.0
NM,SAN JUAN,51,198.0,145.0,28.0
NM,SAN JUAN,52,156.0,54.0,17.0
NM,SAN JUAN,53,384.0,210.0,57.0
NM,SAN JUAN,54,368.0,139.0,35.0
NM,SAN JUAN,55,475.0,149.0,52.0
NM,SAN JUAN,56,405.0,220.0,52.0
NM,SAN JUAN,57,510.0,118.0,60.0
NM,SAN JUAN,58,332.0,80.0,40.0
NM,SAN JUAN,59,601.0,169.0,82.0
NM,SAN JUAN,60,261.0,78.0,15.0
NM,SAN JUAN,61,540.0,139.0,47.0
NM,SAN JUAN,62,252.0,123.0,48.0
NM,SAN JUAN,63,256.0,116.0,25.0
NM,SAN JUAN,64,286.0,107.0,30.0
NM,SAN JUAN,65,352.0,98.0,26.0
NM,SAN JUAN,66,244.0,94.0,32.0
NM,SAN JUAN,67,522.0,163.0,47.0
NM,SAN JUAN,68,149.0,75.0,20.0
NM,SAN JUAN,69,470.0,146.0,53.0
NM,SAN JUAN,70,310.0,112.0,29.0
NM,SAN JUAN,71,431.0,149.0,40.0
NM,SAN JUAN,72,295.0,155.0,26.0
NM,SAN JUAN,73,233.0,81.0,19.0
NM,SAN JUAN,74,485.0,243.0,61.0
NM,SAN JUAN,75,181.0,84.0,16.0
NM,SAN JUAN,76,525.0,206.0,65.0
NM,SAN JUAN,77,506.0,161.0,54.0
NM,SAN MIGUEL,1,23.0,204.0,5.0
NM,SAN MIGUEL,2,51.0,317.0,15.0
NM,SAN MIGUEL,3,28.0,322.0,11.0
NM,SAN MIGUEL,4,104.0,558.0,14.0
NM,SAN MIGUEL,5,95.0,449.0,20.0
NM,SAN MIGUEL,6,32.0,153.0,3.0
NM,SAN MIGUEL,7,47.0,190.0,6.0
NM,SAN MIGUEL,8,42.0,617.0,17.0
NM,SAN MIGUEL,9,90.0,157.0,2.0
NM,SAN MIGUEL,10,58.0,214.0,13.0
NM,SAN MIGUEL,11,22.0,105.0,1.0
NM,SAN MIGUEL,12,48.0,298.0,20.0
NM,SAN MIGUEL,13,36.0,197.0,9.0
NM,SAN MIGUEL,14,32.0,21.0,4.0
NM,SAN MIGUEL,15,60.0,29.0,7.0
NM,SAN MIGUEL,16,115.0,317.0,20.0
NM,SAN MIGUEL,17,3.0,37.0,0.0
NM,SAN MIGUEL,18,32.0,158.0,2.0
NM,SAN MIGUEL,19,40.0,311.0,12.0
NM,SAN MIGUEL,20,11.0,52.0,2.0
NM,SAN MIGUEL,21,47.0,213.0,9.0
NM,SAN MIGUEL,22,43.0,140.0,8.0
NM,SAN MIGUEL,23,207.0,678.0,32.0
NM,SAN MIGUEL,24,42.0,229.0,8.0
NM,SAN MIGUEL,25,39.0,241.0,6.0
NM,SAN MIGUEL,26,53.0,483.0,16.0
NM,SAN MIGUEL,27,79.0,407.0,9.0
NM,SAN MIGUEL,28,64.0,242.0,6.0
NM,SANDOVAL,6,77.0,216.0,17.0
NM,SANDOVAL,7,47.0,193.0,11.0
NM,SANDOVAL,8,5.0,210.0,4.0
NM,SANDOVAL,9,10.0,445.0,5.0
NM,SANDOVAL,10,30.0,245.0,12.0
NM,SANDOVAL,11,301.0,630.0,65.0
NM,SANDOVAL,12,364.0,611.0,45.0
NM,SANDOVAL,13,245.0,559.0,51.0
NM,SANDOVAL,14,9.0,234.0,5.0
NM,SANDOVAL,15,13.0,294.0,2.0
NM,SANDOVAL,16,46.0,66.0,3.0
NM,SANDOVAL,17,66.0,106.0,11.0
NM,SANDOVAL,18,88.0,191.0,18.0
NM,SANDOVAL,19,13.0,187.0,7.0
NM,SANDOVAL,20,24.0,483.0,7.0
NM,SANDOVAL,21,68.0,136.0,8.0
NM,SANDOVAL,22,86.0,155.0,9.0
NM,SANDOVAL,23,84.0,106.0,9.0
NM,SANDOVAL,24,29.0,222.0,13.0
NM,SANDOVAL,25,45.0,473.0,29.0
NM,SANDOVAL,26,28.0,185.0,13.0
NM,SANDOVAL,27,37.0,54.0,5.0
NM,SANDOVAL,30,368.0,435.0,49.0
NM,SANDOVAL,31,362.0,394.0,63.0
NM,SANDOVAL,32,150.0,171.0,26.0
NM,SANDOVAL,33,476.0,647.0,59.0
NM,SANDOVAL,34,218.0,217.0,25.0
NM,SANDOVAL,35,247.0,311.0,37.0
NM,SANDOVAL,36,312.0,334.0,31.0
NM,SANDOVAL,37,805.0,840.0,120.0
NM,SANDOVAL,39,592.0,685.0,80.0
NM,SANDOVAL,40,259.0,360.0,34.0
NM,SANDOVAL,41,363.0,400.0,55.0
NM,SANDOVAL,42,206.0,264.0,21.0
NM,SANDOVAL,43,206.0,270.0,40.0
NM,SANDOVAL,44,380.0,425.0,62.0
NM,SANDOVAL,45,277.0,397.0,47.0
NM,SANDOVAL,46,185.0,267.0,49.0
NM,SANDOVAL,47,531.0,543.0,87.0
NM,SANDOVAL,48,235.0,243.0,37.0
NM,SANDOVAL,49,234.0,230.0,30.0
NM,SANDOVAL,50,517.0,524.0,69.0
NM,SANDOVAL,51,0.0,0.0,0.0
NM,SANDOVAL,53,371.0,601.0,60.0
NM,SANDOVAL,54,287.0,451.0,43.0
NM,SANDOVAL,58,687.0,625.0,83.0
NM,SANDOVAL,59,117.0,164.0,14.0
NM,SANDOVAL,60,190.0,202.0,26.0
NM,SANDOVAL,61,191.0,261.0,28.0
NM,SANDOVAL,62,302.0,315.0,38.0
NM,SANDOVAL,63,348.0,350.0,43.0
NM,SANDOVAL,65,343.0,503.0,45.0
NM,SANDOVAL,66,597.0,677.0,89.0
NM,SANDOVAL,67,356.0,479.0,63.0
NM,SANDOVAL,68,434.0,539.0,68.0
NM,SANDOVAL,69,365.0,477.0,59.0
NM,SANDOVAL,70,192.0,249.0,26.0
NM,SANDOVAL,71,179.0,299.0,40.0
NM,SANDOVAL,72,693.0,747.0,84.0
NM,SANDOVAL,73,252.0,197.0,30.0
NM,SANDOVAL,75,222.0,277.0,31.0
NM,SANDOVAL,77,7.0,319.0,7.0
NM,SANDOVAL,78,89.0,75.0,14.0
NM,SANDOVAL,79,64.0,86.0,16.0
NM,SANDOVAL,80,474.0,515.0,52.0
NM,SANDOVAL,81,261.0,287.0,30.0
NM,SANDOVAL,82,301.0,367.0,60.0
NM,SANDOVAL,83,436.0,338.0,33.0
NM,SANDOVAL,84,311.0,417.0,49.0
NM,SANDOVAL,85,371.0,350.0,53.0
NM,SANDOVAL,86,348.0,429.0,57.0
NM,SANTA FE,1,131.0,533.0,27.0
NM,SANTA FE,2,26.0,116.0,11.0
NM,SANTA FE,3,20.0,218.0,7.0
NM,SANTA FE,4,6.0,52.0,10.0
NM,SANTA FE,5,118.0,390.0,56.0
NM,SANTA FE,6,0.0,128.0,4.0
NM,SANTA FE,7,50.0,269.0,15.0
NM,SANTA FE,8,88.0,646.0,24.0
NM,SANTA FE,9,116.0,702.0,33.0
NM,SANTA FE,10,237.0,1058.0,38.0
NM,SANTA FE,11,117.0,1049.0,36.0
NM,SANTA FE,12,108.0,683.0,23.0
NM,SANTA FE,13,177.0,932.0,37.0
NM,SANTA FE,14,88.0,334.0,18.0
NM,SANTA FE,16,86.0,97.0,12.0
NM,SANTA FE,17,50.0,235.0,15.0
NM,SANTA FE,18,370.0,185.0,29.0
NM,SANTA FE,19,65.0,74.0,9.0
NM,SANTA FE,20,61.0,747.0,15.0
NM,SANTA FE,21,152.0,1108.0,44.0
NM,SANTA FE,22,84.0,638.0,22.0
NM,SANTA FE,23,96.0,347.0,42.0
NM,SANTA FE,24,50.0,642.0,26.0
NM,SANTA FE,25,32.0,411.0,8.0
NM,SANTA FE,26,20.0,318.0,10.0
NM,SANTA FE,27,60.0,687.0,27.0
NM,SANTA FE,28,57.0,355.0,13.0
NM,SANTA FE,29,182.0,816.0,41.0
NM,SANTA FE,30,97.0,682.0,24.0
NM,SANTA FE,31,55.0,362.0,21.0
NM,SANTA FE,32,76.0,857.0,38.0
NM,SANTA FE,33,61.0,616.0,18.0
NM,SANTA FE,34,100.0,765.0,22.0
NM,SANTA FE,35,29.0,145.0,2.0
NM,SANTA FE,36,40.0,375.0,13.0
NM,SANTA FE,37,78.0,568.0,22.0
NM,SANTA FE,38,128.0,754.0,27.0
NM,SANTA FE,39,68.0,405.0,20.0
NM,SANTA FE,40,28.0,154.0,17.0
NM,SANTA FE,41,29.0,226.0,10.0
NM,SANTA FE,42,35.0,439.0,18.0
NM,SANTA FE,43,39.0,393.0,17.0
NM,SANTA FE,44,47.0,670.0,19.0
NM,SANTA FE,45,49.0,331.0,21.0
NM,SANTA FE,46,49.0,271.0,13.0
NM,SANTA FE,47,62.0,633.0,10.0
NM,SANTA FE,48,144.0,1187.0,24.0
NM,SANTA FE,49,82.0,444.0,21.0
NM,SANTA FE,50,64.0,525.0,45.0
NM,SANTA FE,51,79.0,486.0,28.0
NM,SANTA FE,52,111.0,832.0,39.0
NM,SANTA FE,53,115.0,700.0,32.0
NM,SANTA FE,54,121.0,830.0,51.0
NM,SANTA FE,55,158.0,1081.0,45.0
NM,SANTA FE,56,194.0,773.0,43.0
NM,SANTA FE,57,98.0,384.0,30.0
NM,SANTA FE,58,95.0,343.0,15.0
NM,SANTA FE,59,112.0,401.0,54.0
NM,SANTA FE,60,53.0,146.0,22.0
NM,SANTA FE,61,112.0,564.0,60.0
NM,SANTA FE,62,109.0,498.0,29.0
NM,SANTA FE,63,97.0,515.0,21.0
NM,SANTA FE,64,113.0,652.0,29.0
NM,SANTA FE,65,195.0,1264.0,55.0
NM,SANTA FE,66,155.0,822.0,43.0
NM,SANTA FE,67,171.0,943.0,35.0
NM,SANTA FE,68,105.0,601.0,26.0
NM,SANTA FE,69,177.0,1226.0,58.0
NM,SANTA FE,70,414.0,1728.0,84.0
NM,SANTA FE,71,188.0,969.0,26.0
NM,SANTA FE,72,136.0,815.0,33.0
NM,SANTA FE,74,61.0,465.0,22.0
NM,SANTA FE,75,103.0,676.0,41.0
NM,SANTA FE,76,85.0,534.0,24.0
NM,SANTA FE,77,119.0,739.0,41.0
NM,SANTA FE,78,223.0,1271.0,66.0
NM,SANTA FE,79,58.0,262.0,16.0
NM,SANTA FE,80,60.0,303.0,11.0
NM,SANTA FE,81,101.0,418.0,19.0
NM,SANTA FE,82,326.0,601.0,34.0
NM,SANTA FE,83,229.0,920.0,39.0
NM,SANTA FE,85,466.0,307.0,60.0
NM,SANTA FE,86,197.0,1001.0,62.0
NM,SANTA FE,87,29.0,133.0,4.0
NM,SANTA FE,88,193.0,540.0,31.0
NM,SANTA FE,89,209.0,844.0,55.0
NM,SANTA FE,90,374.0,1249.0,58.0
NM,TAOS,1,49.0,235.0,22.0
NM,TAOS,2,16.0,86.0,3.0
NM,TAOS,3,16.0,65.0,0.0
NM,TAOS,4,53.0,286.0,13.0
NM,TAOS,5,33.0,250.0,4.0
NM,TAOS,6,64.0,329.0,19.0
NM,TAOS,7,173.0,119.0,21.0
NM,TAOS,8,16.0,195.0,4.0
NM,TAOS,9,147.0,1147.0,40.0
NM,TAOS,10,33.0,256.0,6.0
NM,TAOS,11,60.0,653.0,24.0
NM,TAOS,12,122.0,878.0,26.0
NM,TAOS,13,5.0,412.0,11.0
NM,TAOS,14,51.0,366.0,8.0
NM,TAOS,15,95.0,814.0,39.0
NM,TAOS,16,54.0,398.0,19.0
NM,TAOS,17,151.0,1093.0,34.0
NM,TAOS,18,117.0,632.0,28.0
NM,TAOS,19,108.0,694.0,27.0
NM,TAOS,20,51.0,358.0,4.0
NM,TAOS,21,89.0,553.0,18.0
NM,TAOS,22,24.0,132.0,5.0
NM,TAOS,23,3.0,64.0,1.0
NM,TAOS,24,19.0,97.0,4.0
NM,TAOS,25,40.0,91.0,2.0
NM,TAOS,26,15.0,41.0,2.0
NM,TAOS,27,29.0,181.0,4.0
NM,TAOS,28,38.0,192.0,7.0
NM,TAOS,29,20.0,88.0,4.0
NM,TAOS,30,0.0,42.0,0.0
NM,TAOS,31,5.0,24.0,4.0
NM,TAOS,32,8.0,107.0,9.0
NM,TAOS,33,14.0,56.0,9.0
NM,TAOS,34,53.0,364.0,19.0
NM,TAOS,35,99.0,644.0,29.0
NM,TAOS,36,0.0,56.0,2.0
NM,UNION,1,192.0,60.0,12.0
NM,UNION,4,282.0,127.0,15.0
NM,UNION,6,188.0,148.0,17.0
NM,UNION,7,134.0,111.0,11.0
NM,UNION,8,76.0,8.0,5.0
NM,UNION,9,49.0,11.0,1.0
