DISTRICT,STATE,Strata_1_corr(DD),Strata_1_corr(RR),Strata_1_DRatio,Strata_1_RRatio,Strata_1_%_votes_represented,Strata_2_corr(DD),Strata_2_corr(RR),Strata_2_DRatio,Strata_2_RRatio,Strata_2_%_votes_represented,Strata_3_corr(DD),Strata_3_corr(RR),Strata_3_DRatio,Strata_3_RRatio,Strata_3_%_votes_represented,Winner
2,VA,0.8330229267890866,0.8186814718203128,1.5777785089162335,0.6020331066694141,0.29616683987341985,0.9810127145944021,0.994553523957091,1.5777785089162335,0.6020331066694141,0.427144561363644,0.6617730174556415,0.6641512315436008,0.7815695148742174,0.8520769859552649,0.2766885987629362,Republican
5,VA,0.8816242337645923,0.8926683005536771,2.587545159968714,0.31466393914812074,0.3205669533134342,0.8809656270318922,0.8995225919648805,2.587545159968714,0.31466393914812074,0.31920628827765585,0.6198030570702215,0.6215773139519083,1.1777443676510189,0.6380983714426715,0.36022675840890994,Democratic
8,VA,0.6802057245428554,0.6780188456279465,0.42935328093930497,2.2809789711298563,0.2298198092097515,0.9957638185521251,0.9948841421233516,0.42935328093930497,2.2809789711298563,0.3579289836297256,0.9756644921341422,0.9823426801823038,0.23898375765870766,3.172395350495614,0.4122512071605229,Republican
9,VA,0.9556519560743013,0.9431555346119165,4.063275636838667,0.19454961697631418,0.2683486161970538,0.9482990732855174,0.9509836777268953,4.063275636838667,0.19454961697631418,0.32140746996558434,0.4884788795300892,0.5511020668846363,2.4704545454545452,0.29219136835061893,0.41024391383736186,Democratic
7,VA,0.848276734320988,0.8406328535263946,1.9234285714285715,0.49014799035820394,0.2800738469581697,0.9084189518385491,0.9389474472547309,1.9234285714285715,0.49014799035820394,0.3637888499806669,0.8709090689160807,0.8977258613876371,1.0057659656731723,0.8642478377612565,0.35613730306116337,Republican
6,VA,0.9520981383974424,0.81355547479142,2.979079079079079,0.27160931772496155,0.2942565270913333,0.8752862640672369,0.9297347769997589,2.979079079079079,0.27160931772496155,0.31988106393272947,0.29957247024297795,0.41489904828609614,1.661996231232144,0.45254964434941797,0.3858624089759372,Democratic
1,VA,0.8695125974756844,0.8786388622765758,1.9904727664928996,0.4322012053664584,0.3055936947868106,0.944629485543628,0.9284306217454587,1.9904727664928996,0.4322012053664584,0.3213593886369926,0.9137918210582995,0.9210445800231413,1.1731638589876139,0.7444956118863989,0.3730469165761969,Democratic
4,VA,0.8378462210992984,0.8376026778367207,1.6392290704677777,0.5031700046185498,0.3064440351529511,0.8201215711665164,0.7671389271399979,1.6392290704677777,0.5031700046185498,0.3325233973499817,0.7666937190223856,0.7655794963621627,0.536043657871069,1.192725811313172,0.36103256749706725,Republican
3,VA,0.680905166099057,0.734382835991236,0.98781802230856,0.7719972000983749,0.310358327115281,0.7560581988221342,0.7864568535481109,0.98781802230856,0.7719972000983749,0.36763244451433946,0.748763428883203,0.6658140350040573,0.3387321443203234,1.7610860963296493,0.32200922837037954,Republican
10,VA,0.787231670764487,0.8595564661604891,1.2505908569113378,0.732759397818444,0.2925592908036978,0.7849451083566623,0.8642107572633804,1.2505908569113378,0.732759397818444,0.2784750065241631,0.9920517733098757,0.9874228884234864,0.6581079041373874,1.4215799195914376,0.42896570267213907,Republican
11,VA,0.9302360262796665,0.9477578531697493,0.511631013491594,1.8457539554407492,0.2474908941945481,0.9229336793332502,0.9634129622463091,0.511631013491594,1.8457539554407492,0.2784343061034871,0.9892322925674107,0.9896219798098087,0.37487646695491045,2.2733409098736095,0.4740747997019648,Republican
