STATE,DISTRICT,COUNTY,PRECINCT,NEW_DEM,NEW_REP
MN,5,2,805,594,245
MN,5,2,810,471,221
MN,5,2,815,526,195
MN,5,2,820,428,233
MN,5,2,825,515,291
MN,5,2,830,425,308
MN,5,2,835,472,250
MN,5,2,840,410,222
MN,5,2,1605,437,316
MN,5,2,1610,420,349
MN,5,2,1615,434,261
MN,5,2,1620,384,246
MN,5,2,1705,297,235
MN,5,2,1710,297,184
MN,5,2,1715,511,398
MN,5,2,1720,518,352
MN,5,2,1805,372,255
MN,5,2,1810,542,424
MN,5,2,1815,245,148
MN,5,2,1820,314,185
MN,5,2,2005,95,29
MN,5,2,3105,249,274
MN,5,2,3110,358,278
MN,5,2,3115,544,407
MN,5,27,200,684,294
MN,5,27,205,598,229
MN,5,27,210,750,391
MN,5,27,215,854,420
MN,5,27,220,828,495
MN,5,27,225,468,277
MN,5,27,230,411,218
MN,5,27,550,672,463
MN,5,27,555,283,174
MN,5,27,557,185,157
MN,5,27,560,549,392
MN,5,27,565,458,344
MN,5,27,567,229,120
MN,5,27,570,389,210
MN,5,27,575,582,421
MN,5,27,577,150,82
MN,5,27,585,533,363
MN,5,27,590,455,275
MN,5,27,865,647,910
MN,5,27,870,851,460
MN,5,27,890,568,635
MN,5,27,895,616,456
MN,5,27,920,778,444
MN,5,27,975,24,5
MN,5,27,985,780,343
MN,5,27,990,1030,513
MN,5,27,1000,784,329
MN,5,27,1005,678,467
MN,5,27,1010,661,287
MN,5,27,1015,757,464
MN,5,27,1020,766,484
MN,5,27,1025,743,419
MN,5,27,1110,512,247
MN,5,27,1115,626,405
MN,5,27,1120,408,294
MN,5,27,1125,540,223
MN,5,27,1130,556,302
MN,5,27,1135,618,372
MN,5,27,1360,347,91
MN,5,27,1365,1255,370
MN,5,27,1370,1158,294
MN,5,27,1375,1037,219
MN,5,27,1380,893,241
MN,5,27,1385,1086,229
MN,5,27,1390,632,152
MN,5,27,1395,627,109
MN,5,27,1400,966,175
MN,5,27,1405,437,98
MN,5,27,1410,1497,204
MN,5,27,1415,914,71
MN,5,27,1420,637,135
MN,5,27,1425,438,165
MN,5,27,1430,877,123
MN,5,27,1435,565,95
MN,5,27,1440,303,59
MN,5,27,1445,1552,217
MN,5,27,1450,567,73
MN,5,27,1455,584,288
MN,5,27,1460,606,344
MN,5,27,1465,780,134
MN,5,27,1470,1252,275
MN,5,27,1475,464,87
MN,5,27,1480,753,185
MN,5,27,1485,1210,195
MN,5,27,1490,821,303
MN,5,27,1495,649,255
MN,5,27,1500,782,256
MN,5,27,1501,335,75
MN,5,27,1502,537,186
MN,5,27,1503,271,62
MN,5,27,1505,614,175
MN,5,27,1510,805,208
MN,5,27,1515,390,70
MN,5,27,1520,1040,250
MN,5,27,1525,902,154
MN,5,27,1530,658,116
MN,5,27,1535,708,212
MN,5,27,1540,832,147
MN,5,27,1555,808,89
MN,5,27,1560,606,86
MN,5,27,1565,488,48
MN,5,27,1570,569,49
MN,5,27,1575,589,53
MN,5,27,1580,239,34
MN,5,27,1585,536,35
MN,5,27,1590,573,81
MN,5,27,1595,587,50
MN,5,27,1605,470,24
MN,5,27,1610,964,72
MN,5,27,1615,661,116
MN,5,27,1620,653,333
MN,5,27,1625,422,38
MN,5,27,1630,386,68
MN,5,27,1635,289,39
MN,5,27,1640,498,61
MN,5,27,1642,684,56
MN,5,27,1645,656,77
MN,5,27,1650,771,264
MN,5,27,1655,1220,240
MN,5,27,1660,922,367
MN,5,27,1665,970,157
MN,5,27,1670,783,269
MN,5,27,1675,600,132
MN,5,27,1680,1370,370
MN,5,27,1685,1207,213
MN,5,27,1690,319,35
MN,5,27,1700,570,52
MN,5,27,1705,1227,128
MN,5,27,1710,674,55
MN,5,27,1715,850,76
MN,5,27,1720,1344,163
MN,5,27,1725,1307,123
MN,5,27,1730,1693,214
MN,5,27,1735,1487,207
MN,5,27,1750,992,85
MN,5,27,1755,1355,89
MN,5,27,1760,674,133
MN,5,27,1765,466,53
MN,5,27,1770,276,34
MN,5,27,1775,1070,147
MN,5,27,1780,661,73
MN,5,27,1785,69,16
MN,5,27,1805,937,94
MN,5,27,1810,1052,188
