STATE,DISTRICT,COUNTY,PRECINCT,NEW_DEM,NEW_REP
MN,6,2,5,567,1114
MN,6,2,10,589,957
MN,6,2,15,726,1083
MN,6,2,20,590,781
MN,6,2,25,754,1177
MN,6,2,30,469,964
MN,6,2,35,480,810
MN,6,2,40,544,893
MN,6,2,45,617,950
MN,6,2,50,775,996
MN,6,2,105,342,323
MN,6,2,110,464,467
MN,6,2,115,452,515
MN,6,2,120,499,441
MN,6,2,125,427,436
MN,6,2,130,512,496
MN,6,2,135,436,457
MN,6,2,140,420,425
MN,6,2,205,57,116
MN,6,2,305,586,478
MN,6,2,310,755,543
MN,6,2,315,501,446
MN,6,2,320,361,359
MN,6,2,325,737,736
MN,6,2,330,391,503
MN,6,2,335,456,456
MN,6,2,340,486,500
MN,6,2,405,523,453
MN,6,2,410,500,408
MN,6,2,415,581,503
MN,6,2,420,552,436
MN,6,2,425,647,638
MN,6,2,430,509,638
MN,6,2,435,420,562
MN,6,2,440,902,1236
MN,6,2,505,616,521
MN,6,2,510,603,637
MN,6,2,515,608,494
MN,6,2,520,688,691
MN,6,2,525,606,613
MN,6,2,530,1140,1228
MN,6,2,535,1021,1000
MN,6,2,540,462,532
MN,6,2,605,842,1162
MN,6,2,705,453,454
MN,6,2,710,935,698
MN,6,2,905,810,1431
MN,6,2,1505,570,1157
MN,6,2,1510,587,1151
MN,6,2,1515,558,1125
MN,6,2,1905,383,675
MN,6,2,1910,528,1017
MN,6,2,1915,492,982
MN,6,2,1920,443,978
MN,6,2,1925,330,774
MN,6,2,1930,465,877
MN,6,2,2105,355,421
MN,6,2,2205,434,570
MN,6,2,2210,702,922
MN,6,2,2215,554,728
MN,6,2,2220,842,1103
MN,6,2,2225,461,548
MN,6,2,2230,718,1079
MN,6,2,2235,787,1061
MN,6,2,2305,553,1096
MN,6,2,2310,363,604
MN,6,2,2405,418,1058
MN,6,2,2410,225,604
MN,6,2,2505,451,864
MN,6,2,2510,335,816
MN,6,2,2515,332,811
MN,6,2,2520,249,510
MN,6,2,2605,916,1273
MN,6,2,2610,263,432
MN,6,2,2705,366,775
MN,6,2,2710,744,1316
MN,6,2,2805,875,1103
MN,6,2,2810,343,444
MN,6,2,2905,625,734
MN,6,2,2910,550,868
MN,6,2,3005,523,960
MN,6,2,3010,426,869
MN,6,5,5,78,248
MN,6,5,10,287,571
MN,6,5,15,27,57
MN,6,5,20,106,279
MN,6,5,25,84,273
MN,6,5,30,59,205
MN,6,5,35,74,263
MN,6,5,40,106,388
MN,6,5,45,93,285
MN,6,5,50,104,320
MN,6,5,55,176,610
MN,6,5,56,0,4
MN,6,5,60,231,455
MN,6,5,67,0,0
MN,6,5,70,410,379
MN,6,5,80,427,330
MN,6,5,85,260,165
MN,6,5,90,120,425
MN,6,5,95,338,497
MN,6,5,100,360,554
MN,6,5,105,382,521
MN,6,5,110,505,766
MN,6,5,111,401,517
MN,6,5,112,553,768
MN,6,5,113,0,0
MN,6,5,115,105,181
MN,6,5,120,514,1021
MN,6,10,5,102,299
MN,6,10,10,114,354
MN,6,10,15,1020,1167
MN,6,10,65,289,559
MN,6,10,70,205,483
MN,6,10,75,60,187
MN,6,10,80,40,136
MN,6,10,85,129,414
MN,6,10,95,270,658
MN,6,10,100,39,134
MN,6,10,105,518,1065
MN,6,10,110,154,342
MN,6,10,120,1037,1580
MN,6,10,125,1411,1979
MN,6,10,130,192,487
MN,6,10,135,652,1285
MN,6,10,140,202,494
MN,6,10,150,77,315
MN,6,27,1080,98,232
MN,6,27,2695,72,73
MN,6,71,5,393,989
MN,6,71,10,600,1160
MN,6,71,15,573,1687
MN,6,71,20,386,671
MN,6,71,22,355,601
MN,6,71,24,706,1184
MN,6,71,25,418,794
MN,6,71,30,253,665
MN,6,71,35,72,137
MN,6,71,40,278,608
MN,6,71,45,516,819
MN,6,71,50,420,977
MN,6,71,55,365,556
MN,6,71,60,481,822
MN,6,71,65,327,725
MN,6,71,70,307,727
MN,6,71,75,453,1157
MN,6,71,80,379,855
MN,6,71,85,24,24
MN,6,71,90,383,238
MN,6,71,95,366,271
MN,6,71,100,609,371
MN,6,71,105,165,570
MN,6,71,110,308,656
MN,6,71,111,328,748
MN,6,71,120,304,713
MN,6,71,121,200,436
MN,6,71,122,231,560
MN,6,71,125,417,1103
MN,6,71,130,521,942
MN,6,71,135,539,1030
MN,6,71,140,627,871
MN,6,71,145,538,770
MN,6,71,150,418,1191
MN,6,71,155,14,44
MN,6,73,20,243,524
MN,6,73,25,127,465
MN,6,73,27,174,356
MN,6,73,35,394,1061
MN,6,73,42,0,0
MN,6,73,45,595,1170
MN,6,73,50,415,636
MN,6,73,55,361,299
MN,6,73,70,226,560
MN,6,73,85,217,519
MN,6,73,115,130,455
MN,6,73,120,67,259
MN,6,73,125,93,195
MN,6,73,145,255,548
MN,6,73,150,43,262
MN,6,73,155,279,668
MN,6,73,160,236,680
MN,6,73,192,130,274
MN,6,73,230,187,481
MN,6,73,235,325,908
MN,6,73,255,403,1282
MN,6,73,260,328,105
MN,6,73,265,562,267
MN,6,73,270,285,137
MN,6,73,275,341,295
MN,6,73,280,289,190
MN,6,73,285,392,453
MN,6,73,290,654,215
MN,6,73,295,746,554
MN,6,73,305,575,802
MN,6,73,307,657,619
MN,6,73,310,700,985
MN,6,73,312,326,338
MN,6,73,315,310,378
MN,6,73,317,502,461
MN,6,73,320,547,455
MN,6,73,330,358,410
MN,6,73,335,217,226
MN,6,73,340,254,245
MN,6,73,345,749,351
MN,6,73,350,474,541
