STATE,DISTRICT,COUNTY,PRECINCT,NEW_DEM,NEW_REP
MN,8,1,5,371,357
MN,8,1,10,161,257
MN,8,1,15,76,54
MN,8,1,20,10,6
MN,8,1,25,24,11
MN,8,1,30,41,24
MN,8,1,35,11,4
MN,8,1,38,10,13
MN,8,1,40,273,310
MN,8,1,45,85,78
MN,8,1,50,135,124
MN,8,1,55,48,34
MN,8,1,60,197,203
MN,8,1,65,90,85
MN,8,1,70,89,59
MN,8,1,75,42,41
MN,8,1,80,47,77
MN,8,1,82,7,6
MN,8,1,85,50,50
MN,8,1,90,104,118
MN,8,1,95,6,14
MN,8,1,100,6,11
MN,8,1,105,7,5
MN,8,1,110,51,38
MN,8,1,115,9,13
MN,8,1,120,55,30
MN,8,1,125,9,15
MN,8,1,130,40,35
MN,8,1,132,13,11
MN,8,1,135,96,63
MN,8,1,140,26,45
MN,8,1,145,267,281
MN,8,1,150,31,28
MN,8,1,155,8,21
MN,8,1,160,24,32
MN,8,1,165,26,18
MN,8,1,170,11,21
MN,8,1,175,285,276
MN,8,1,180,23,28
MN,8,1,185,107,155
MN,8,1,190,12,8
MN,8,1,195,42,40
MN,8,1,200,9,17
MN,8,1,205,70,79
MN,8,1,210,69,86
MN,8,1,215,91,68
MN,8,1,220,9,10
MN,8,1,225,20,28
MN,8,1,230,44,39
MN,8,1,240,5,16
MN,8,1,255,8,6
MN,8,1,260,37,22
MN,8,1,285,12,13
MN,8,1,290,16,16
MN,8,4,50,22,31
MN,8,4,55,78,98
MN,8,4,65,20,36
MN,8,4,70,33,36
MN,8,4,80,301,337
MN,8,4,85,1,1
MN,8,4,95,62,72
MN,8,4,105,90,160
MN,8,4,110,28,42
MN,8,4,135,14,52
MN,8,4,160,37,53
MN,8,4,165,74,53
MN,8,4,170,765,958
MN,8,4,175,4,19
MN,8,4,185,133,186
MN,8,4,190,9,9
MN,8,4,210,10,42
MN,8,4,235,43,44
MN,8,4,240,26,107
MN,8,4,245,13,32
MN,8,4,250,219,106
MN,8,4,255,29,37
MN,8,4,260,290,376
MN,8,4,265,20,20
MN,8,4,270,309,284
MN,8,4,285,36,24
MN,8,9,5,76,103
MN,8,9,10,31,28
MN,8,9,15,107,65
MN,8,9,20,264,225
MN,8,9,25,23,33
MN,8,9,30,219,183
MN,8,9,35,160,108
MN,8,9,40,584,477
MN,8,9,45,418,245
MN,8,9,50,472,251
MN,8,9,55,427,316
MN,8,9,60,424,377
MN,8,9,65,98,29
MN,8,9,68,24,33
MN,8,9,70,35,26
MN,8,9,75,49,31
MN,8,9,80,108,119
MN,8,9,85,46,48
MN,8,9,90,68,73
MN,8,9,95,44,24
MN,8,9,100,42,39
MN,8,9,105,143,117
MN,8,9,110,439,232
MN,8,9,115,258,226
MN,8,9,118,5,2
MN,8,9,120,228,124
MN,8,9,125,39,55
MN,8,9,130,66,49
MN,8,9,135,232,141
MN,8,9,140,125,140
MN,8,9,145,117,111
MN,8,9,150,97,84
MN,8,9,155,42,32
MN,8,9,160,50,30
MN,8,9,165,1081,1069
MN,8,9,170,489,416
MN,8,9,175,125,55
MN,8,9,180,107,96
MN,8,9,185,31,9
MN,8,11,5,8,23
MN,8,11,10,32,35
MN,8,11,15,59,128
MN,8,11,20,47,95
MN,8,11,25,21,5
MN,8,11,30,19,19
MN,8,11,35,120,181
MN,8,11,40,12,13
MN,8,11,45,39,37
MN,8,11,50,3,2
MN,8,11,55,16,12
MN,8,11,60,15,31
MN,8,11,65,16,47
MN,8,11,70,20,33
MN,8,11,75,106,29
MN,8,11,80,27,28
MN,8,11,85,144,131
MN,8,11,90,25,31
MN,8,11,95,149,405
MN,8,11,100,116,293
MN,8,11,105,18,14
MN,8,11,110,44,33
MN,8,11,115,68,54
MN,8,11,118,3,16
MN,8,11,120,81,106
MN,8,11,125,25,68
MN,8,11,130,47,40
MN,8,11,135,117,141
